"Date","Price","Open","High","Low","Change %"
"May 08, 2018","17.1293","17.1322","17.1692","17.0823","-0.03%"
"May 07, 2018","17.1351","17.1478","17.1879","17.0897","-0.09%"
"May 04, 2018","17.1507","17.1917","17.2095","17.0781","-0.21%"
"May 03, 2018","17.1861","17.2620","17.2756","17.1452","-0.45%"
"May 02, 2018","17.2646","17.3476","17.3587","17.2237","-0.48%"
"May 01, 2018","17.3473","17.2653","17.3520","17.2478","0.48%"
"Apr 30, 2018","17.2636","17.2115","17.2827","17.2115","0.27%"
"Apr 27, 2018","17.2179","17.2450","17.2742","17.1919","-0.19%"
"Apr 26, 2018","17.2499","17.2948","17.3081","17.2310","-0.27%"
"Apr 25, 2018","17.2961","17.2543","17.3078","17.2385","0.24%"
"Apr 24, 2018","17.2552","17.2122","17.3168","17.2075","0.27%"
"Apr 23, 2018","17.2090","17.0919","17.2169","17.0919","0.64%"
"Apr 20, 2018","17.0993","17.0986","17.1524","17.0739","-0.01%"
"Apr 19, 2018","17.1004","17.0920","17.1628","17.0797","0.06%"
"Apr 18, 2018","17.0909","17.0307","17.1036","17.0291","0.35%"
"Apr 17, 2018","17.0321","17.0683","17.0779","17.0130","-0.20%"
"Apr 16, 2018","17.0668","17.1075","17.1473","17.0496","-0.23%"
"Apr 13, 2018","17.1068","17.0568","17.1639","17.0330","0.27%"
"Apr 12, 2018","17.0604","17.0363","17.0886","16.9999","0.15%"
"Apr 11, 2018","17.0354","17.0622","17.0785","16.9852","-0.16%"
"Apr 10, 2018","17.0620","16.9280","17.0938","16.9043","0.79%"
"Apr 09, 2018","16.9280","16.9657","17.0211","16.9043","-0.18%"
"Apr 06, 2018","16.9591","17.0319","17.0447","16.9352","-0.42%"
"Apr 05, 2018","17.0304","16.9337","17.0494","16.9242","0.56%"
"Apr 04, 2018","16.9352","16.9464","16.9560","16.7923","-0.08%"
"Apr 03, 2018","16.9486","16.8606","16.9581","16.8287","0.52%"
"Apr 02, 2018","16.8610","16.9303","16.9707","16.8228","-0.44%"
"Mar 30, 2018","16.9354","16.9216","16.9873","16.8914","0.08%"
"Mar 29, 2018","16.9211","16.9630","16.9764","16.8925","-0.27%"
"Mar 28, 2018","16.9668","16.7604","16.9922","16.7556","1.20%"
"Mar 27, 2018","16.7664","16.8021","16.9322","16.7632","-0.22%"
"Mar 26, 2018","16.8027","16.5817","16.8154","16.5548","1.32%"
"Mar 23, 2018","16.5833","16.6214","16.6693","16.5205","-0.21%"
"Mar 22, 2018","16.6188","16.7736","16.7799","16.6172","-0.92%"
"Mar 21, 2018","16.7723","16.8245","16.8656","16.7440","-0.28%"
"Mar 20, 2018","16.8194","16.7484","16.8459","16.7215","0.38%"
"Mar 19, 2018","16.7549","16.7203","16.7917","16.6872","0.15%"
"Mar 16, 2018","16.7293","16.8285","16.8364","16.7010","-0.55%"
"Mar 15, 2018","16.8211","16.8234","16.8339","16.7339","-0.05%"
"Mar 14, 2018","16.8289","16.8580","16.9045","16.7846","-0.18%"
"Mar 13, 2018","16.8587","16.8130","16.9608","16.7861","0.28%"
"Mar 12, 2018","16.8113","16.8649","16.8916","16.7954","-0.32%"
"Mar 09, 2018","16.8645","16.7539","16.9056","16.7398","0.71%"
"Mar 08, 2018","16.7457","16.7691","16.7911","16.7188","-0.14%"
"Mar 07, 2018","16.7696","16.8258","16.8369","16.6863","-0.29%"
"Mar 06, 2018","16.8192","16.7264","16.8414","16.6868","0.55%"
"Mar 05, 2018","16.7264","16.6514","16.7326","16.6073","0.36%"
"Mar 02, 2018","16.6656","16.7099","16.7555","16.5869","-0.26%"
"Mar 01, 2018","16.7092","16.8451","16.8634","16.6965","-0.83%"
"Feb 28, 2018","16.8495","16.9980","17.0296","16.8290","-0.84%"
"Feb 27, 2018","16.9916","16.9186","17.0470","16.8933","0.35%"
"Feb 26, 2018","16.9315","16.8771","16.9650","16.8424","0.39%"
"Feb 23, 2018","16.8662","16.8138","16.8962","16.7965","0.32%"
"Feb 22, 2018","16.8117","16.9736","16.9783","16.7865","-0.98%"
"Feb 21, 2018","16.9774","16.9066","16.9994","16.8971","0.41%"
"Feb 20, 2018","16.9080","16.7932","16.9159","16.7869","0.69%"
"Feb 19, 2018","16.7923","16.7498","16.8128","16.7120","0.27%"
"Feb 16, 2018","16.7474","16.7190","16.7615","16.6246","0.18%"
"Feb 15, 2018","16.7175","16.8560","16.8607","16.7017","-0.83%"
"Feb 14, 2018","16.8577","17.0079","17.0205","16.8104","-0.86%"
"Feb 13, 2018","17.0044","17.1715","17.1994","16.9235","-0.97%"
"Feb 12, 2018","17.1718","17.2854","17.3091","17.1345","-0.61%"
"Feb 09, 2018","17.2777","17.1765","17.3617","17.1354","0.53%"
