DATE,Exp_JP
2008-06-01,5752.432922
2008-07-01,5600.92979
2008-08-01,5908.024927
2008-09-01,5434.352187
2008-10-01,5338.587364
2008-11-01,5058.036817
2008-12-01,4492.470169
2009-01-01,3975.457084
2009-02-01,4200.226831
2009-03-01,4439.840461
2009-04-01,3824.826778
2009-05-01,4270.519343
2009-06-01,3992.691376
2009-07-01,4145.224089
2009-08-01,4047.61877
2009-09-01,4436.85839
2009-10-01,4637.388375
2009-11-01,4235.225118
2009-12-01,4928.307586
2010-01-01,4840.292937
2010-02-01,4625.432423
2010-03-01,5073.197176
2010-04-01,4493.850674
2010-05-01,5193.089945
2010-06-01,5009.662396
2010-07-01,5130.069965
2010-08-01,4922.10033
2010-09-01,4959.290902
2010-10-01,5551.717531
2010-11-01,5174.609316
2010-12-01,5498.538538
2011-01-01,4998.190538
2011-02-01,5274.354761
2011-03-01,5919.569094
2011-04-01,5188.415162
2011-05-01,5625.488884
2011-06-01,5483.553258
2011-07-01,5315.554905
2011-08-01,5413.674846
2011-09-01,5458.752289
2011-10-01,6141.966579
2011-11-01,5563.587239
2011-12-01,5416.629158
2012-01-01,5600.741926
2012-02-01,5468.251405
2012-03-01,6121.863238
2012-04-01,5812.396643
2012-05-01,5685.98942
2012-06-01,5995.759705
2012-07-01,5572.831982
2012-08-01,6266.207694
2012-09-01,6073.86105
2012-10-01,5675.169129
2012-11-01,5685.768365
2012-12-01,6016.946299
2013-01-01,5162.250053
2013-02-01,4975.332203
2013-03-01,5576.672648
2013-04-01,5062.208797
2013-05-01,5783.444589
2013-06-01,5674.775133
2013-07-01,5174.193412
2013-08-01,5667.479052
2013-09-01,5527.603151
2013-10-01,5502.51769
2013-11-01,5846.982848
2013-12-01,5283.954518
2014-01-01,5504.778463
2014-02-01,5305.158682
2014-03-01,6009.199558
2014-04-01,5294.783086
2014-05-01,5451.450743
2014-06-01,5650.820053
2014-07-01,5470.134652
2014-08-01,6303.158952
2014-09-01,5424.170934
2014-10-01,5621.792714
2014-11-01,5063.241285
2014-12-01,5793.153528
2015-01-01,5095.305086
2015-02-01,5087.090793
2015-03-01,5708.250811
2015-04-01,5591.915569
2015-05-01,5420.357885
2015-06-01,5221.11042
2015-07-01,5267.815704
2015-08-01,5433.92827
2015-09-01,4664.358977
2015-10-01,5207.018897
2015-11-01,4936.844028
2015-12-01,4759.099756
2016-01-01,4679.326688
2016-02-01,4969.531952
2016-03-01,5374.393013
2016-04-01,4691.26372
2016-05-01,5223.71594
2016-06-01,5161.389229
2016-07-01,5167.53283
2016-08-01,5465.475715
2016-09-01,5627.524456
2016-10-01,5785.406137
2016-11-01,5438.80195
2016-12-01,5651.912137
2017-01-01,5030.781446
2017-02-01,5200.590602
2017-03-01,5803.110541
2017-04-01,5970.373152
2017-05-01,5168.369826
2017-06-01,5594.960361
2017-07-01,5725.410047
2017-08-01,5409.476394
2017-09-01,5968.324745
2017-10-01,5617.537774
2017-11-01,5773.43568
2017-12-01,6433.521691
2018-01-01,5650.378604
2018-02-01,5313.33361
2018-03-01,6497.930438
