"Date","Price","Open","High","Low","Vol.","Change %"
"May 06, 2018","49,030.0","49,500.0","49,520.0","47,940.0","2.22M","-0.39%"
"Apr 29, 2018","49,220.0","48,530.0","49,750.0","48,360.0","1.18M","2.10%"
"Apr 22, 2018","48,210.0","47,280.0","48,420.0","46,510.0","3.01M","1.47%"
"Apr 15, 2018","47,510.0","46,820.0","47,910.0","45,750.0","3.57M","1.37%"
"Apr 08, 2018","46,870.0","46,340.0","48,540.0","45,510.0","4.02M","1.30%"
"Apr 01, 2018","46,270.0","43,110.0","46,770.0","42,570.0","4.73M","7.01%"
"Mar 25, 2018","43,240.0","39,390.0","43,310.0","38,900.0","4.50M","9.03%"
"Mar 18, 2018","39,660.0","41,390.0","42,320.0","39,340.0","3.53M","-5.64%"
"Mar 11, 2018","42,030.0","43,640.0","43,960.0","41,590.0","2.96M","-0.87%"
"Mar 04, 2018","42,400.0","41,350.0","43,640.0","41,170.0","5.01M","3.47%"
"Feb 25, 2018","40,980.0","43,210.0","44,220.0","40,420.0","4.17M","-3.98%"
"Feb 18, 2018","42,680.0","43,000.0","43,780.0","41,960.0","3.64M","0.19%"
"Feb 11, 2018","42,600.0","42,000.0","42,830.0","40,450.0","3.92M","2.70%"
"Feb 04, 2018","41,480.0","46,620.0","47,290.0","41,050.0","7.72M","-14.69%"
"Jan 28, 2018","48,620.0","49,720.0","50,070.0","48,100.0","3.28M","-1.80%"
"Jan 21, 2018","49,510.0","50,000.0","51,120.0","49,260.0","3.09M","-1.57%"
"Jan 14, 2018","50,300.0","50,150.0","51,580.0","49,340.0","4.60M","1.39%"
"Jan 07, 2018","49,610.0","47,870.0","50,150.0","46,540.0","3.77M","5.91%"
"Dec 31, 2017","46,840.0","45,580.0","47,100.0","45,510.0","1.73M","4.30%"
"Dec 24, 2017","44,910.0","44,630.0","45,410.0","44,460.0","1.59M","-0.11%"
"Dec 17, 2017","44,960.0","45,100.0","45,900.0","44,510.0","2.15M","0.81%"
"Dec 10, 2017","44,600.0","44,800.0","45,080.0","43,840.0","2.65M","-0.16%"
"Dec 03, 2017","44,670.0","43,660.0","45,470.0","42,130.0","5.60M","2.31%"
"Nov 26, 2017","43,660.0","41,080.0","44,120.0","40,770.0","4.23M","7.19%"
"Nov 19, 2017","40,730.0","40,190.0","41,090.0","39,910.0","2.25M","1.12%"
"Nov 12, 2017","40,280.0","40,310.0","41,120.0","38,800.0","4.99M","-0.91%"
"Nov 05, 2017","40,650.0","38,300.0","41,200.0","38,140.0","6.32M","7.63%"
"Oct 29, 2017","37,770.0","38,010.0","38,160.0","37,060.0","2.67M","-0.26%"
"Oct 22, 2017","37,870.0","37,000.0","38,120.0","36,580.0","3.55M","3.70%"
"Oct 15, 2017","36,520.0","36,870.0","36,960.0","35,940.0","3.83M","-0.68%"
"Oct 08, 2017","36,770.0","35,120.0","37,020.0","34,760.0","3.87M","4.37%"
"Oct 01, 2017","35,230.0","33,340.0","35,380.0","33,210.0","4.43M","6.15%"
"Sep 24, 2017","33,190.0","33,280.0","33,740.0","32,660.0","3.01M","0.33%"
"Sep 17, 2017","33,080.0","32,600.0","33,670.0","32,490.0","2.77M","2.89%"
"Sep 10, 2017","32,150.0","30,260.0","32,240.0","30,150.0","3.25M","7.17%"
"Sep 03, 2017","30,000.0","31,400.0","31,730.0","30,000.0","4.06M","-5.12%"
"Aug 27, 2017","31,620.0","31,840.0","32,040.0","30,460.0","2.60M","-0.38%"
"Aug 20, 2017","31,740.0","31,390.0","31,850.0","30,640.0","2.45M","1.24%"
"Aug 13, 2017","31,350.0","32,010.0","32,830.0","31,270.0","2.48M","-3.48%"
"Aug 06, 2017","32,480.0","33,160.0","33,390.0","32,350.0","1.98M","-1.90%"
