"Date","Price","Open","High","Low","Vol.","Change %"
"May 18","12,948.14","12,601.64","12,961.56","12,598.46","-","2.66%"
"Apr 18","12,612.11","11,997.47","12,647.16","11,792.35","1.92B","4.26%"
"Mar 18","12,096.73","12,386.40","12,459.90","11,726.62","2.49B","-2.73%"
"Feb 18","12,435.85","13,235.15","13,301.41","12,003.36","2.40B","-5.71%"
"Jan 18","13,189.48","12,897.69","13,596.89","12,745.15","2.17B","2.10%"
"Dec 17","12,917.64","13,044.15","13,338.91","12,810.13","1.67B","-0.82%"
"Nov 17","13,023.98","13,342.44","13,525.56","12,847.88","2.19B","-1.55%"
"Oct 17","13,229.57","12,866.27","13,255.38","12,849.59","1.61B","3.12%"
"Sep 17","12,828.86","12,101.15","12,828.86","12,050.53","1.83B","6.41%"
"Aug 17","12,055.84","12,147.89","12,336.00","11,868.84","1.79B","-0.52%"
"Jul 17","12,118.25","12,396.34","12,676.52","12,097.36","1.83B","-1.68%"
"Jun 17","12,325.12","12,623.61","12,951.54","12,319.00","2.11B","-2.30%"
"May 17","12,615.06","12,478.46","12,841.66","12,433.51","2.07B","1.42%"
"Apr 17","12,438.01","12,368.82","12,486.29","11,941.57","1.70B","1.02%"
"Mar 17","12,312.87","11,915.03","12,313.29","11,850.27","2.43B","4.04%"
"Feb 17","11,834.41","11,646.42","12,031.11","11,479.78","1.69B","2.59%"
"Jan 17","11,535.31","11,426.38","11,893.08","11,414.82","1.90B","0.47%"
"Dec 16","11,481.06","10,593.06","11,481.66","10,402.59","1.98B","7.90%"
"Nov 16","10,640.30","10,724.14","10,802.39","10,174.92","2.19B","-0.23%"
"Oct 16","10,665.01","10,492.97","10,827.72","10,349.06","1.85B","1.47%"
"Sep 16","10,511.02","10,622.33","10,780.42","10,189.94","2.24B","-0.77%"
"Aug 16","10,592.69","10,426.36","10,802.32","10,092.53","1.62B","2.47%"
"Jul 16","10,337.50","9,742.84","10,381.90","9,304.01","1.87B","6.79%"
"Jun 16","9,680.09","10,242.78","10,340.84","9,214.10","2.50B","-5.68%"
"May 16","10,262.74","10,091.17","10,365.24","9,737.00","1.78B","2.23%"
"Apr 16","10,038.97","9,833.26","10,474.38","9,484.75","1.85B","0.74%"
"Mar 16","9,965.51","9,482.66","10,112.17","9,471.09","2.10B","4.95%"
"Feb 16","9,495.40","9,823.73","9,827.10","8,699.29","2.53B","-3.09%"
"Jan 16","9,798.11","10,485.81","10,485.91","9,314.57","2.23B","-8.80%"
"Dec 15","10,743.01","11,422.47","11,430.38","10,122.95","1.84B","-5.62%"
"Nov 15","11,382.23","10,749.98","11,430.87","10,607.46","1.73B","4.90%"
"Oct 15","10,850.14","9,757.04","10,886.98","9,396.34","2.19B","12.32%"
"Sep 15","9,660.44","10,073.74","10,512.61","9,325.05","2.66B","-5.84%"
"Aug 15","10,259.46","11,295.50","11,669.86","9,338.20","2.18B","-9.28%"
"Jul 15","11,308.99","11,050.32","11,802.37","10,652.79","1.89B","3.33%"
"Jun 15","10,944.97","11,462.97","11,635.85","10,797.85","2.24B","-4.11%"
"May 15","11,413.82","11,506.84","11,920.31","11,167.55","1.78B","-0.35%"
"Apr 15","11,454.38","11,902.92","12,390.75","11,331.37","1.81B","-4.28%"
"Mar 15","11,966.17","11,408.28","12,219.05","11,193.30","2.18B","4.95%"
"Feb 15","11,401.66","10,719.18","11,401.66","10,594.32","1.83B","6.61%"
"Jan 15","10,694.32","9,869.13","10,810.57","9,382.82","2.37B","9.06%"
"Dec 14","9,805.55","9,915.74","10,093.03","9,219.05","1.81B","-1.76%"
"Nov 14","9,980.85","9,305.73","9,992.67","9,148.78","1.84B","7.01%"
"Oct 14","9,326.87","9,454.04","9,520.97","8,354.97","2.63B","-1.56%"
"Sep 14","9,474.30","9,484.53","9,891.20","9,369.62","1.72B","0.04%"
"Aug 14","9,470.17","9,379.74","9,600.85","8,903.49","1.69B","0.67%"
"Jul 14","9,407.48","9,853.74","10,032.28","9,395.35","1.71B","-4.33%"
"Jun 14","9,833.07","9,986.86","10,050.98","9,749.75","1.71B","-1.11%"
"May 14","9,943.27","9,611.79","9,970.77","9,407.09","1.77B","3.54%"
"Apr 14","9,603.23","9,601.96","9,721.50","9,166.53","1.60B","0.50%"
"Mar 14","9,555.91","9,553.08","9,634.82","8,913.27","2.04B","-1.40%"
"Feb 14","9,692.08","9,318.77","9,720.66","9,071.25","1.69B","4.14%"
"Jan 14","9,306.48","9,598.25","9,794.05","9,166.05","2.13B","-2.57%"
"Dec 13","9,552.16","9,412.95","9,594.35","8,984.28","1.44B","1.56%"
"Nov 13","9,405.30","9,032.29","9,424.62","8,962.42","1.68B","4.11%"
"Oct 13","9,033.92","8,618.59","9,070.17","8,489.62","1.94B","5.11%"
"Sep 13","8,594.40","8,224.34","8,770.10","8,095.91","2.08B","6.06%"
"Aug 13","8,103.15","8,320.38","8,457.05","8,094.22","1.85B","-2.09%"
"Jul 13","8,275.97","8,000.02","8,415.33","7,730.37","2.09B","3.98%"
"Jun 13","7,959.22","8,291.49","8,395.56","7,655.83","2.05B","-4.67%"
"May 13","8,348.84","7,905.35","8,557.86","7,896.99","2.39B","5.50%"
"Apr 13","7,913.71","7,806.12","7,965.90","7,418.36","2.70B","1.52%"
"Mar 13","7,795.31","7,735.35","8,074.47","7,627.99","3.18B","0.69%"
"Feb 13","7,741.70","7,792.59","7,860.57","7,537.29","2.81B","-0.44%"
"Jan 13","7,776.05","7,689.46","7,871.79","7,634.26","2.74B","2.15%"
"Dec 12","7,612.39","7,427.41","7,682.90","7,417.30","1.90B","2.79%"
"Nov 12","7,405.50","7,255.30","7,442.60","6,950.53","2.86B","2.00%"
"Oct 12","7,260.63","7,227.81","7,447.81","7,120.68","2.73B","0.62%"
"Sep 12","7,216.15","6,946.61","7,478.53","6,892.86","3.42B","3.52%"
"Aug 12","6,970.79","6,775.99","7,105.43","6,596.21","2.80B","2.93%"
"Jul 12","6,772.26","6,405.39","6,835.19","6,324.53","3.15B","5.55%"
"Jun 12","6,416.28","6,259.76","6,427.49","5,914.43","3.39B","2.42%"
"May 12","6,264.38","6,861.30","6,875.87","6,208.09","3.35B","-7.35%"
"Apr 12","6,761.19","6,973.99","7,081.06","6,499.07","3.21B","-2.67%"
"Mar 12","6,946.83","6,831.97","7,194.33","6,612.61","3.74B","1.32%"
"Feb 12","6,856.08","6,482.95","6,971.03","6,482.56","3.64B","6.15%"
"Jan 12","6,458.91","5,900.18","6,574.19","5,900.18","3.83B","9.50%"
"Dec 11","5,898.35","6,080.48","6,170.04","5,637.53","3.00B","-3.13%"
"Nov 11","6,088.84","5,934.54","6,193.34","5,366.50","4.07B","-0.85%"
"Oct 11","6,141.34","5,311.93","6,430.60","5,125.44","3.74B","11.62%"
"Sep 11","5,502.02","5,793.10","5,794.50","4,965.80","4.65B","-4.89%"
"Aug 11","5,784.85","7,254.50","7,282.01","5,345.36","5.64B","-19.19%"
"Jul 11","7,158.77","7,374.49","7,523.53","6,996.26","3.30B","-2.95%"
"Jun 11","7,376.24","7,310.56","7,378.35","6,991.62","3.22B","1.13%"
"May 11","7,293.69","7,570.86","7,600.41","7,071.42","3.55B","-2.94%"
"Apr 11","7,514.46","7,086.56","7,514.69","6,994.56","2.42B","6.72%"
"Mar 11","7,041.31","7,309.80","7,356.33","6,483.39","3.09B","-3.18%"
"Feb 11","7,272.32","7,133.34","7,441.82","7,093.91","2.13B","2.75%"
"Jan 11","7,077.48","6,973.39","7,180.15","6,835.74","2.36B","2.36%"
"Dec 10","6,914.19","6,748.36","7,087.84","6,736.69","1.79B","3.37%"
"Nov 10","6,688.49","6,637.09","6,907.61","6,586.01","2.33B","1.32%"
"Oct 10","6,601.37","6,244.06","6,668.54","6,115.87","2.17B","5.98%"
"Sep 10","6,229.02","5,936.94","6,339.97","5,876.43","2.45B","5.13%"
"Aug 10","5,925.22","6,187.64","6,386.97","5,833.51","2.10B","-3.62%"
"Jul 10","6,147.97","5,885.61","6,253.64","5,809.37","2.22B","3.06%"
"Jun 10","5,965.52","5,943.94","6,330.81","5,798.76","2.63B","0.02%"
"May 10","5,964.33","6,122.76","6,276.80","5,607.68","3.89B","-2.79%"
"Apr 10","6,135.70","6,189.38","6,341.52","6,024.01","2.74B","-0.29%"
"Mar 10","6,153.55","5,652.85","6,203.50","5,641.18","2.58B","9.92%"
"Feb 10","5,598.46","5,587.50","5,743.89","5,433.02","2.61B","-0.18%"
"Jan 10","5,608.79","5,975.52","6,094.26","5,540.33","2.64B","-5.85%"
"Dec 09","5,957.43","5,653.88","6,026.69","5,605.43","1.88B","5.89%"
"Nov 09","5,625.95","5,410.61","5,843.27","5,312.64","2.33B","3.90%"
"Oct 09","5,414.96","5,681.88","5,888.21","5,394.80","2.84B","-4.58%"
"Sep 09","5,675.16","5,479.35","5,760.83","5,263.11","2.48B","3.85%"
"Aug 09","5,464.61","5,330.87","5,575.53","5,158.60","1.81B","2.48%"
"Jul 09","5,332.14","4,820.61","5,396.95","4,524.01","2.15B","10.89%"
"Jun 09","4,808.64","4,992.10","5,177.59","4,669.80","2.20B","-2.68%"
"May 09","4,940.82","4,790.03","5,060.76","4,653.25","2.49B","3.59%"
"Apr 09","4,769.45","4,074.79","4,837.22","3,997.46","2.92B","16.76%"
"Mar 09","4,084.76","3,817.51","4,272.12","3,588.89","3.48B","6.27%"
"Feb 09","3,843.74","4,309.17","4,688.59","3,764.69","2.82B","-11.40%"
"Jan 09","4,338.35","4,856.85","5,111.02","4,067.43","3.16B","-9.81%"
"Dec 08","4,810.20","4,653.12","4,850.39","4,304.03","3.03B","3.01%"
"Nov 08","4,669.44","5,053.94","5,302.57","4,034.96","3.29B","-6.39%"
"Oct 08","4,987.97","5,865.08","5,876.93","4,014.60","6.54B","-14.46%"
"Sep 08","5,831.02","6,400.85","6,553.90","5,658.20","4.71B","-9.21%"
"Aug 08","6,422.30","6,461.01","6,626.70","6,219.10","2.63B","-0.88%"
"Jul 08","6,479.56","6,394.08","6,577.10","5,999.32","3.93B","0.95%"
"Jun 08","6,418.32","7,098.70","7,102.05","6,308.24","3.11B","-9.56%"
