"Date","Price","Open","High","Low","Vol.","Change %"
"May 18","27,512.56","30,006.35","30,246.46","27,350.67","-","-8.31%"
"Apr 18","30,006.35","31,115.02","32,340.73","29,321.40","-","-3.56%"
"Mar 18","31,114.93","33,010.90","33,508.48","30,982.31","-","-5.74%"
"Feb 18","33,010.90","34,938.64","35,461.52","29,460.74","-","-5.52%"
"Jan 18","34,938.64","30,065.61","35,334.84","30,065.61","-","16.21%"
"Dec 17","30,065.61","26,905.26","30,277.53","26,171.66","-","11.75%"
"Nov 17","26,905.26","27,935.28","28,545.17","25,194.27","-","-3.69%"
"Oct 17","27,935.28","26,078.32","28,100.68","26,069.57","-","7.12%"
"Sep 17","26,078.29","23,588.98","26,175.24","23,502.59","-","10.55%"
"Aug 17","23,588.98","21,582.40","23,642.07","20,845.22","-","9.30%"
"Jul 17","21,582.40","21,869.42","22,605.85","20,863.82","-","-1.51%"
"Jun 17","21,912.63","22,461.90","22,594.93","20,461.53","-","-1.95%"
"May 17","22,348.61","21,041.64","22,624.41","20,686.48","-","6.32%"
"Apr 17","21,019.91","20,281.62","21,315.37","20,281.62","-","3.72%"
"Mar 17","20,265.32","19,111.87","20,322.64","18,717.51","-","6.00%"
"Feb 17","19,117.45","19,066.42","20,234.96","18,950.79","-","0.29%"
"Jan 17","19,062.59","16,921.64","19,721.22","16,921.64","-","12.68%"
"Dec 16","16,917.86","17,304.76","17,514.65","15,933.23","-","-3.01%"
"Nov 16","17,442.40","17,623.77","17,682.24","15,188.55","-","-0.95%"
"Oct 16","17,610.13","16,679.62","18,431.54","16,679.62","-","5.60%"
"Sep 16","16,675.68","15,649.47","16,939.00","15,427.36","-","6.56%"
"Aug 16","15,649.47","15,639.26","16,128.82","15,026.20","-","-0.97%"
"Jul 16","15,803.50","14,693.22","16,143.22","14,478.45","-","7.63%"
"Jun 16","14,683.49","12,684.27","14,715.88","12,519.98","-","15.78%"
"May 16","12,681.74","13,727.77","13,741.77","12,351.04","-","-7.59%"
"Apr 16","13,724.07","12,992.43","14,187.24","11,775.57","-","5.63%"
"Mar 16","12,992.43","13,243.99","13,610.99","12,027.88","-","-0.94%"
"Feb 16","13,115.95","11,298.73","13,340.52","10,855.56","-","16.01%"
"Jan 16","11,306.02","11,689.44","11,689.44","9,199.81","-","-3.16%"
"Dec 15","11,675.18","12,974.57","13,523.15","10,906.59","-","-10.00%"
"Nov 15","12,972.14","12,530.99","14,597.20","12,358.58","-","4.10%"
"Oct 15","12,461.25","9,819.74","12,718.90","9,514.46","-","26.97%"
"Sep 15","9,814.62","11,024.60","11,337.98","8,659.59","-","-11.04%"
"Aug 15","11,032.87","11,100.95","11,862.77","9,766.08","-","-0.61%"
"Jul 15","11,101.02","11,666.43","12,529.62","10,548.24","-","-4.77%"
"Jun 15","11,656.81","10,800.86","11,684.42","10,635.07","-","7.92%"
"May 15","10,800.86","12,055.95","12,611.29","10,791.63","-","-10.37%"
"Apr 15","12,050.19","10,959.77","12,542.32","10,944.44","-","11.19%"
"Mar 15","10,837.23","9,604.86","11,407.02","9,524.02","-","12.87%"
"Feb 15","9,601.61","8,489.04","9,667.93","8,443.60","-","13.09%"
"Jan 15","8,490.46","8,578.13","9,022.66","7,976.00","-","-1.03%"
"Dec 14","8,579.02","9,802.87","9,802.87","7,275.99","-","-12.54%"
"Nov 14","9,808.60","11,040.75","11,398.96","9,570.76","-","-10.99%"
"Oct 14","11,019.43","12,548.99","12,548.99","9,466.73","-","-12.19%"
"Sep 14","12,548.99","9,814.86","12,599.42","9,814.86","-","27.83%"
"Aug 14","9,817.30","8,184.53","9,930.55","7,890.80","-","19.90%"
"Jul 14","8,187.99","7,923.31","8,960.25","7,660.13","-","3.81%"
"Jun 14","7,887.33","7,713.58","8,444.71","6,997.19","-","2.27%"
"May 14","7,712.23","6,878.66","7,865.86","6,723.37","-","13.72%"
"Apr 14","6,782.01","6,377.74","6,938.93","6,233.81","-","6.40%"
"Mar 14","6,373.82","5,782.25","6,373.82","5,653.54","-","10.19%"
"Feb 14","5,784.39","6,030.77","6,198.22","5,378.33","-","-3.89%"
"Jan 14","6,018.65","5,389.88","6,034.91","5,244.86","-","11.64%"
"Dec 13","5,391.03","5,702.14","5,722.31","5,105.48","-","-5.73%"
"Nov 13","5,718.68","5,163.32","5,825.37","5,087.98","-","10.72%"
"Oct 13","5,165.09","4,786.98","5,696.67","4,786.65","-","7.97%"
"Sep 13","4,783.77","3,935.89","4,965.27","3,935.89","-","21.54%"
"Aug 13","3,935.89","3,362.08","4,017.82","3,343.64","-","17.21%"
"Jul 13","3,357.86","2,976.29","3,485.62","2,942.19","-","12.82%"
"Jun 13","2,976.27","3,489.43","3,495.27","2,908.62","-","-14.71%"
"May 13","3,489.43","3,842.56","4,102.41","3,380.98","-","-9.27%"
"Apr 13","3,845.94","3,414.12","3,859.40","3,269.09","-","13.76%"
"Mar 13","3,380.78","3,000.37","3,523.71","2,973.10","-","10.90%"
"Feb 13","3,048.55","3,463.08","3,544.85","3,042.98","-","-11.95%"
"Jan 13","3,462.42","2,867.43","3,498.07","2,867.43","-","21.31%"
"Dec 12","2,854.29","2,427.49","2,887.33","2,414.45","-","17.98%"
"Nov 12","2,419.30","2,331.42","2,425.38","2,234.86","-","4.13%"
"Oct 12","2,323.39","2,450.99","2,500.78","2,314.10","-","-5.23%"
"Sep 12","2,451.73","2,408.49","2,586.59","2,358.81","-","1.80%"
"Aug 12","2,408.38","2,400.31","2,484.43","2,355.81","-","0.34%"
"Jul 12","2,400.31","2,348.84","2,527.48","2,309.25","-","2.29%"
"Jun 12","2,346.68","2,251.47","2,353.79","2,139.89","-","3.99%"
"May 12","2,256.74","2,258.82","2,389.55","2,118.07","-","-0.67%"
"Apr 12","2,271.86","2,683.99","2,683.99","2,253.13","-","-15.36%"
"Mar 12","2,683.99","2,648.86","2,771.35","2,626.04","-","1.35%"
"Feb 12","2,648.22","2,788.44","2,858.07","2,633.24","-","-4.99%"
"Jan 12","2,787.17","2,482.92","2,976.83","2,482.92","-","13.18%"
"Dec 11","2,462.63","2,564.72","2,669.27","2,390.90","-","-3.91%"
"Nov 11","2,562.85","2,894.74","2,894.74","2,405.00","-","-11.79%"
"Oct 11","2,905.54","2,451.18","3,027.94","2,212.28","-","17.94%"
"Sep 11","2,463.63","2,963.38","2,966.75","2,438.97","-","-16.90%"
"Aug 11","2,964.79","3,328.64","3,354.09","2,735.28","-","-10.75%"
"Jul 11","3,321.85","3,360.62","3,503.04","3,256.91","-","-1.15%"
"Jun 11","3,360.64","3,250.29","3,386.40","3,109.95","-","3.38%"
"May 11","3,250.91","3,407.59","3,428.46","3,232.44","-","-4.55%"
"Apr 11","3,406.02","3,389.67","3,541.37","3,290.67","-","0.53%"
"Mar 11","3,388.03","3,456.17","3,492.03","3,166.53","-","-1.96%"
"Feb 11","3,455.65","3,594.13","3,653.61","3,367.73","-","-3.83%"
"Jan 11","3,593.13","3,523.82","3,700.90","3,497.84","-","1.97%"
"Dec 10","3,523.59","3,262.66","3,538.59","3,262.66","-","8.04%"
"Nov 10","3,261.49","3,011.76","3,380.81","3,011.76","-","8.45%"
"Oct 10","3,007.41","2,642.29","3,007.41","2,620.47","-","13.77%"
"Sep 10","2,643.42","2,360.29","2,665.86","2,360.29","-","13.12%"
"Aug 10","2,336.89","2,398.54","2,473.47","2,258.75","-","-2.39%"
"Jul 10","2,394.16","2,185.92","2,407.38","2,158.03","-","9.57%"
"Jun 10","2,185.01","2,203.60","2,348.48","2,159.59","-","-0.84%"
"May 10","2,203.60","2,398.82","2,419.18","2,060.18","-","-8.04%"
"Apr 10","2,396.27","2,398.28","2,505.37","2,356.15","-","0.95%"
"Mar 10","2,373.71","2,224.50","2,449.95","2,224.50","-","6.86%"
"Feb 10","2,221.38","2,296.73","2,358.07","2,151.10","-","-3.36%"
"Jan 10","2,298.55","2,329.81","2,411.40","2,247.57","-","-0.96%"
"Dec 09","2,320.73","2,150.29","2,328.14","2,138.39","-","8.08%"
"Nov 09","2,147.25","2,114.65","2,299.52","2,110.02","-","1.49%"
"Oct 09","2,115.76","2,075.13","2,343.29","1,999.30","-","1.96%"
"Sep 09","2,075.14","1,784.05","2,092.37","1,731.48","-","16.46%"
"Aug 09","1,781.89","1,723.11","1,816.56","1,708.59","-","3.61%"
"Jul 09","1,719.87","1,608.12","1,739.53","1,446.00","-","8.31%"
"Jun 09","1,587.97","1,589.47","1,696.44","1,493.01","-","0.05%"
"May 09","1,587.21","1,276.38","1,607.76","1,275.25","-","24.46%"
"Apr 09","1,275.25","1,119.91","1,293.06","1,119.91","-","13.26%"
"Mar 09","1,125.95","1,016.42","1,173.01","914.07","-","10.46%"
