"Date","Price","Open","High","Low","Vol.","Change %"
"May 18","10,631.51","10,356.19","10,632.84","10,230.13","-","2.97%"
"Apr 18","10,324.47","10,887.47","10,950.22","10,228.09","167.41B","-5.01%"
"Mar 18","10,868.65","10,754.62","11,335.30","10,217.22","218.30B","0.37%"
"Feb 18","10,828.73","11,145.41","11,171.36","9,868.83","144.02B","-2.97%"
"Jan 18","11,159.68","11,079.64","11,633.46","11,072.87","244.40B","1.08%"
"Dec 17","11,040.45","10,941.87","11,176.58","10,716.29","170.40B","0.88%"
"Nov 17","10,944.10","11,370.52","11,714.98","10,908.70","234.14B","-3.73%"
"Oct 17","11,367.62","11,248.35","11,509.02","11,140.34","165.90B","2.53%"
"Sep 17","11,087.19","10,822.49","11,199.19","10,807.77","235.75B","2.50%"
"Aug 17","10,816.64","10,496.71","10,866.36","10,281.63","249.78B","2.97%"
"Jul 17","10,505.04","10,531.73","10,574.21","9,960.56","215.56B","-0.23%"
"Jun 17","10,529.61","9,833.82","10,548.80","9,637.54","166.21B","6.74%"
"May 17","9,864.84","10,205.66","10,244.35","9,566.42","150.44B","-3.61%"
"Apr 17","10,234.65","10,496.78","10,702.88","10,015.89","174.55B","-1.86%"
"Mar 17","10,428.72","10,387.63","10,666.12","10,308.22","169.78B","0.36%"
"Feb 17","10,391.34","10,061.29","10,454.16","9,984.64","125.97B","3.38%"
"Jan 17","10,052.05","10,205.14","10,396.90","9,482.84","105.67B","-1.23%"
"Dec 16","10,177.14","11,037.11","11,090.93","10,062.37","158.73B","-7.58%"
"Nov 16","11,012.19","10,714.82","11,124.81","10,575.16","213.52B","2.88%"
"Oct 16","10,704.30","10,612.21","10,871.66","10,584.70","129.07B","1.29%"
"Sep 16","10,567.58","10,759.76","10,903.64","10,352.02","146.30B","-1.77%"
"Aug 16","10,757.88","10,289.89","10,946.74","10,086.65","219.74B","4.15%"
"Jul 16","10,329.43","10,506.22","10,890.02","10,262.30","245.03B","-1.53%"
"Jun 16","10,489.99","10,184.23","10,527.69","9,779.11","210.33B","3.25%"
"May 16","10,159.93","10,144.15","10,501.43","9,544.12","170.77B","0.18%"
"Apr 16","10,141.54","10,410.68","10,810.41","9,976.05","208.24B","-3.00%"
"Mar 16","10,455.37","9,116.56","10,552.58","9,011.51","267.98B","14.93%"
"Feb 16","9,097.36","9,389.62","10,397.52","9,000.89","159.90B","-3.41%"
"Jan 16","9,418.20","12,650.72","12,659.41","8,986.52","217.02B","-25.64%"
"Dec 15","12,664.89","12,022.83","13,187.05","11,830.99","288.72B","5.21%"
