"Date","Price","Open","High","Low","Change %"
"May 06, 2018","109.39","109.12","110.03","108.75","0.25%"
"Apr 29, 2018","109.12","109.02","110.03","108.64","0.06%"
"Apr 22, 2018","109.05","107.64","109.55","107.64","1.28%"
"Apr 15, 2018","107.67","107.38","107.86","106.86","0.31%"
"Apr 08, 2018","107.34","106.92","107.78","106.61","0.38%"
"Apr 01, 2018","106.93","106.26","107.51","105.66","0.61%"
"Mar 25, 2018","106.28","104.73","107.03","104.56","1.47%"
"Mar 18, 2018","104.74","105.96","106.65","104.64","-1.21%"
"Mar 11, 2018","106.02","106.81","107.31","105.61","-0.73%"
"Mar 04, 2018","106.80","105.70","107.06","105.36","0.99%"
"Feb 25, 2018","105.75","106.85","107.69","105.25","-1.07%"
"Feb 18, 2018","106.89","106.33","107.91","106.08","0.55%"
"Feb 11, 2018","106.31","108.81","108.95","105.53","-2.29%"
"Feb 04, 2018","108.80","110.11","110.31","108.05","-1.19%"
"Jan 28, 2018","110.11","108.69","110.48","108.42","1.28%"
"Jan 21, 2018","108.72","110.62","111.23","108.28","-1.86%"
"Jan 14, 2018","110.78","111.06","111.50","110.19","-0.23%"
"Jan 07, 2018","111.04","113.06","113.39","110.91","-1.80%"
"Dec 31, 2017","113.08","112.67","113.32","112.06","0.35%"
"Dec 24, 2017","112.69","113.31","113.39","112.47","-0.51%"
"Dec 17, 2017","113.27","112.63","113.64","112.31","0.61%"
"Dec 10, 2017","112.58","113.48","113.75","112.03","-0.79%"
"Dec 03, 2017","113.48","112.39","113.58","111.98","1.22%"
"Nov 26, 2017","112.11","111.42","112.88","110.84","0.50%"
"Nov 19, 2017","111.55","112.09","112.73","111.06","-0.47%"
"Nov 12, 2017","112.08","113.52","113.92","111.94","-1.28%"
"Nov 05, 2017","113.53","113.98","114.72","113.08","-0.48%"
"Oct 29, 2017","114.08","113.73","114.44","112.97","0.34%"
"Oct 22, 2017","113.69","113.69","114.45","113.25","0.15%"
"Oct 15, 2017","113.52","111.86","113.58","111.66","1.48%"
"Oct 08, 2017","111.86","112.69","112.83","111.69","-0.69%"
"Oct 01, 2017","112.64","112.56","113.44","112.33","0.13%"
"Sep 24, 2017","112.49","111.99","113.27","111.48","0.46%"
"Sep 17, 2017","111.98","110.89","112.72","110.89","1.03%"
"Sep 10, 2017","110.84","108.19","111.33","108.12","2.78%"
"Sep 03, 2017","107.84","109.39","109.94","107.33","-2.20%"
"Aug 27, 2017","110.27","109.26","110.67","108.27","0.83%"
"Aug 20, 2017","109.36","109.34","109.86","108.62","0.16%"
"Aug 13, 2017","109.19","109.07","110.97","108.61","0.00%"
"Aug 06, 2017","109.19","110.64","110.94","108.77","-1.36%"
"Jul 30, 2017","110.69","110.64","111.06","109.83","0.02%"
"Jul 23, 2017","110.67","111.06","112.19","110.55","-0.40%"
"Jul 16, 2017","111.12","112.49","112.89","110.98","-1.25%"
"Jul 09, 2017","112.53","113.96","114.52","112.24","-1.19%"
"Jul 02, 2017","113.89","112.12","114.19","111.92","1.34%"
"Jun 25, 2017","112.38","111.10","112.95","111.10","0.98%"
"Jun 18, 2017","111.29","110.82","111.81","110.73","0.39%"
"Jun 11, 2017","110.86","110.35","111.44","108.81","0.47%"
"Jun 04, 2017","110.34","110.34","110.81","109.09","-0.07%"
"May 28, 2017","110.42","111.30","111.72","110.30","-0.83%"
"May 21, 2017","111.34","111.30","112.14","110.84","0.05%"
"May 14, 2017","111.28","113.18","113.86","110.21","-1.82%"
"May 07, 2017","113.34","112.97","114.38","112.36","0.55%"
"Apr 30, 2017","112.72","111.29","113.06","111.18","1.05%"
"Apr 23, 2017","111.55","110.24","111.78","109.57","2.26%"
"Apr 16, 2017","109.08","108.66","109.50","108.11","0.41%"
"Apr 09, 2017","108.64","111.09","111.60","108.52","-2.19%"
"Apr 02, 2017","111.07","111.38","111.60","110.11","-0.29%"
"Mar 26, 2017","111.39","111.22","112.20","110.09","0.04%"
"Mar 19, 2017","111.34","112.69","112.91","110.60","-1.22%"
"Mar 12, 2017","112.72","114.80","115.20","112.53","-1.77%"
"Mar 05, 2017","114.75","114.00","115.51","113.53","0.64%"
"Feb 26, 2017","114.02","112.07","114.77","111.67","1.63%"
"Feb 19, 2017","112.19","112.83","113.78","111.91","-0.61%"
"Feb 12, 2017","112.88","113.31","114.97","112.58","-0.30%"
"Feb 05, 2017","113.22","112.39","113.88","111.57","0.46%"
"Jan 29, 2017","112.70","115.08","115.14","112.03","-2.07%"
"Jan 22, 2017","115.08","114.35","115.39","112.49","0.40%"
"Jan 15, 2017","114.62","114.53","115.64","112.55","0.08%"
"Jan 08, 2017","114.53","116.89","117.54","113.73","-2.04%"
"Jan 01, 2017","116.92","116.91","118.61","115.04","0.03%"
"Dec 25, 2016","116.89","117.36","117.83","116.02","-0.39%"
"Dec 18, 2016","117.35","117.87","118.28","116.52","-0.54%"
"Dec 11, 2016","117.99","115.22","118.67","114.71","2.24%"
"Dec 04, 2016","115.40","113.52","115.40","112.84","1.60%"
"Nov 27, 2016","113.58","113.03","114.86","111.32","0.44%"
"Nov 20, 2016","113.08","110.89","113.91","110.23","1.92%"
"Nov 13, 2016","110.95","106.53","110.98","106.51","4.00%"
"Nov 06, 2016","106.68","103.12","106.95","101.15","3.43%"
"Oct 30, 2016","103.14","104.68","105.24","102.54","-1.49%"
"Oct 23, 2016","104.70","103.84","105.55","103.69","0.84%"
"Oct 16, 2016","103.83","104.05","104.42","103.15","-0.35%"
"Oct 09, 2016","104.19","103.07","104.64","102.78","1.23%"
"Oct 02, 2016","102.92","101.35","104.17","101.19","1.56%"
"Sep 25, 2016","101.34","101.03","101.86","100.07","0.34%"
"Sep 18, 2016","101.00","102.21","102.80","100.07","-1.27%"
"Sep 11, 2016","102.30","102.67","103.36","101.40","-0.38%"
"Sep 04, 2016","102.69","103.94","104.14","101.18","-1.25%"
"Aug 28, 2016","103.99","101.81","104.33","101.73","2.12%"
"Aug 21, 2016","101.83","100.41","101.94","99.91","1.61%"
"Aug 14, 2016","100.22","101.20","101.47","99.53","-1.08%"
"Aug 07, 2016","101.31","101.71","102.67","100.82","-0.49%"
"Jul 31, 2016","101.81","102.05","102.82","100.65","-0.24%"
"Jul 24, 2016","102.06","106.19","106.72","101.94","-3.79%"
"Jul 17, 2016","106.08","105.12","107.48","105.04","1.18%"
"Jul 10, 2016","104.84","100.43","106.31","100.42","4.27%"
"Jul 03, 2016","100.55","102.51","102.81","100.02","-1.93%"
"Jun 26, 2016","102.53","102.09","103.41","101.37","0.29%"
"Jun 19, 2016","102.23","104.33","106.85","99.08","-1.82%"
"Jun 12, 2016","104.12","106.90","106.94","103.58","-2.67%"
"Jun 05, 2016","106.98","106.43","107.92","106.24","0.42%"
"May 29, 2016","106.53","110.40","111.44","106.48","-3.36%"
"May 22, 2016","110.23","110.08","110.47","109.08","0.07%"
"May 15, 2016","110.15","108.55","110.59","108.43","1.42%"
"May 08, 2016","108.61","107.10","109.50","107.00","1.39%"
"May 01, 2016","107.12","106.27","107.52","105.52","0.71%"
"Apr 24, 2016","106.36","111.54","111.92","106.27","-4.86%"
"Apr 17, 2016","111.79","108.22","111.82","107.81","2.78%"
"Apr 10, 2016","108.77","108.05","109.77","107.61","0.66%"
"Apr 03, 2016","108.06","111.68","111.81","107.67","-3.23%"
"Mar 27, 2016","111.67","113.08","113.81","111.56","-1.24%"
"Mar 20, 2016","113.07","111.43","113.33","111.20","1.34%"
"Mar 13, 2016","111.57","113.82","114.02","110.65","-1.97%"
"Mar 06, 2016","113.81","113.78","114.45","112.20","0.04%"
"Feb 28, 2016","113.76","113.84","114.56","112.14","-0.21%"
"Feb 21, 2016","114.00","112.61","114.00","111.04","1.27%"
"Feb 14, 2016","112.57","113.20","114.90","112.28","-0.57%"
"Feb 07, 2016","113.22","116.88","117.55","110.98","-3.15%"
"Jan 31, 2016","116.90","121.10","121.48","116.42","-3.44%"
"Jan 24, 2016","121.06","118.50","121.70","117.63","1.92%"
"Jan 17, 2016","118.78","116.88","118.89","115.96","1.47%"
"Jan 10, 2016","117.06","117.43","118.39","116.49","-0.33%"
"Jan 03, 2016","117.45","120.27","120.47","117.30","-2.39%"
"Dec 27, 2015","120.33","120.22","120.67","119.98","-0.07%"
"Dec 20, 2015","120.42","121.21","121.53","120.02","-0.66%"
"Dec 13, 2015","121.22","120.96","123.60","120.32","0.30%"
"Dec 06, 2015","120.86","123.20","123.47","120.57","-1.88%"
"Nov 29, 2015","123.17","122.79","123.67","122.27","0.27%"
"Nov 22, 2015","122.84","122.77","123.28","122.23","-0.06%"
"Nov 15, 2015","122.91","122.32","123.69","122.20","0.22%"
"Nov 08, 2015","122.64","123.14","123.61","122.43","-0.42%"
"Nov 01, 2015","123.16","120.63","123.29","120.24","2.11%"
"Oct 25, 2015","120.62","121.41","121.53","120.14","-0.70%"
"Oct 18, 2015","121.47","119.47","121.50","119.12","1.70%"
"Oct 11, 2015","119.44","120.24","120.28","118.04","-0.70%"
"Oct 04, 2015","120.28","119.97","120.58","119.60","0.31%"
"Sep 27, 2015","119.91","120.51","120.59","118.67","-0.56%"
"Sep 20, 2015","120.58","119.79","121.26","119.21","0.48%"
"Sep 13, 2015","120.00","120.58","121.00","119.03","-0.48%"
"Sep 06, 2015","120.58","118.65","121.35","118.65","1.33%"
"Aug 30, 2015","119.00","121.65","121.75","118.75","-2.23%"
"Aug 23, 2015","121.72","121.68","122.03","116.46","-0.25%"
"Aug 16, 2015","122.03","124.39","124.58","121.80","-1.83%"
"Aug 09, 2015","124.31","124.13","125.30","123.77","0.07%"
"Aug 02, 2015","124.22","124.00","125.08","123.77","0.23%"
"Jul 26, 2015","123.94","123.71","124.60","122.98","0.10%"
"Jul 19, 2015","123.82","124.06","124.51","123.54","-0.21%"
"Jul 12, 2015","124.08","122.00","124.23","122.00","1.08%"
"Jul 05, 2015","122.75","122.05","122.94","120.38","-0.05%"
"Jun 28, 2015","122.81","122.70","123.73","121.92","-0.85%"
"Jun 21, 2015","123.86","122.81","124.38","122.54","0.97%"
"Jun 14, 2015","122.67","123.34","124.45","122.46","-0.58%"
"Jun 07, 2015","123.39","125.58","125.69","122.43","-1.78%"
"May 31, 2015","125.62","124.10","125.86","123.74","1.19%"
"May 24, 2015","124.14","121.48","124.50","121.42","2.13%"
"May 17, 2015","121.55","119.25","121.58","119.22","1.89%"
"May 10, 2015","119.29","119.65","120.29","118.86","-0.43%"
"May 03, 2015","119.81","120.15","120.53","119.03","-0.30%"
"Apr 26, 2015","120.17","118.98","120.30","118.47","1.00%"
"Apr 19, 2015","118.98","118.80","120.11","118.51","0.05%"
"Apr 12, 2015","118.92","120.19","120.86","118.54","-1.08%"
"Apr 05, 2015","120.22","118.93","120.75","118.77","1.05%"
"Mar 29, 2015","118.97","119.12","120.38","118.69","-0.14%"
"Mar 22, 2015","119.14","120.05","120.20","118.30","-0.74%"
"Mar 15, 2015","120.03","121.37","121.53","119.38","-1.12%"
"Mar 08, 2015","121.39","120.80","122.03","120.58","0.46%"
"Mar 01, 2015","120.84","119.55","121.29","119.35","1.09%"
"Feb 22, 2015","119.54","119.00","119.86","118.59","0.43%"
"Feb 15, 2015","119.03","118.74","119.43","118.16","0.24%"
"Feb 08, 2015","118.75","119.16","120.52","118.31","-0.19%"
"Feb 01, 2015","118.98","117.45","119.24","116.65","1.30%"
"Jan 25, 2015","117.45","117.76","118.67","117.25","-0.28%"
"Jan 18, 2015","117.78","117.60","118.91","116.91","0.12%"
"Jan 11, 2015","117.64","118.50","119.34","115.82","-0.75%"
"Jan 04, 2015","118.53","120.46","120.67","118.04","-1.63%"
"Dec 28, 2014","120.50","120.37","120.75","118.84","0.07%"
"Dec 21, 2014","120.41","119.38","120.83","119.29","0.76%"
"Dec 14, 2014","119.50","119.05","119.64","115.56","0.59%"
"Dec 07, 2014","118.80","121.44","121.87","117.43","-2.16%"
"Nov 30, 2014","121.42","118.68","121.69","117.86","2.34%"
"Nov 23, 2014","118.64","117.75","118.80","117.22","0.70%"
"Nov 16, 2014","117.81","116.36","118.97","115.44","1.32%"
"Nov 09, 2014","116.28","114.47","116.83","113.84","1.52%"
"Nov 02, 2014","114.54","112.46","115.50","112.41","1.97%"
"Oct 26, 2014","112.33","108.12","112.50","107.58","3.86%"
"Oct 19, 2014","108.16","106.96","108.37","106.22","1.20%"
"Oct 12, 2014","106.88","107.60","107.62","105.18","-0.73%"
"Oct 05, 2014","107.67","109.75","109.87","107.50","-1.91%"
"Sep 28, 2014","109.77","109.16","110.10","107.99","0.45%"
"Sep 21, 2014","109.28","109.04","109.53","108.24","0.21%"
"Sep 14, 2014","109.05","107.25","109.48","106.79","1.60%"
"Sep 07, 2014","107.33","105.07","107.41","104.90","2.12%"
"Aug 31, 2014","105.10","104.03","105.72","104.03","0.98%"
"Aug 24, 2014","104.08","104.40","104.45","103.53","0.13%"
"Aug 17, 2014","103.94","102.20","104.20","102.15","1.54%"
"Aug 10, 2014","102.36","102.05","102.73","101.99","0.29%"
"Aug 03, 2014","102.06","102.57","102.94","101.49","-0.56%"
"Jul 27, 2014","102.63","101.74","103.10","101.72","0.78%"
"Jul 20, 2014","101.84","101.38","101.95","101.16","0.50%"
"Jul 13, 2014","101.33","101.37","101.81","101.08","-0.05%"
"Jul 06, 2014","101.38","102.03","102.22","101.04","-0.72%"
"Jun 29, 2014","102.12","101.42","102.28","101.21","0.73%"
"Jun 22, 2014","101.38","102.08","102.17","101.29","-0.69%"
"Jun 15, 2014","102.08","102.03","102.33","101.69","0.01%"
"Jun 08, 2014","102.07","102.45","102.67","101.57","-0.40%"
"Jun 01, 2014","102.48","101.81","102.81","101.72","0.69%"
"May 25, 2014","101.78","101.94","102.14","101.41","-0.19%"
"May 18, 2014","101.97","101.51","102.01","100.80","0.44%"
"May 11, 2014","101.52","101.75","102.39","101.30","-0.33%"
"May 04, 2014","101.86","102.14","102.28","101.40","-0.32%"
"Apr 27, 2014","102.19","102.15","103.03","102.02","0.02%"
"Apr 20, 2014","102.17","102.48","102.74","101.94","-0.24%"
"Apr 13, 2014","102.42","101.55","102.59","101.39","0.80%"
"Apr 06, 2014","101.61","103.29","103.44","101.31","-1.62%"
"Mar 30, 2014","103.28","102.82","104.12","102.75","0.46%"
"Mar 23, 2014","102.81","102.23","103.00","101.71","0.53%"
"Mar 16, 2014","102.27","101.32","102.72","101.23","0.90%"
"Mar 09, 2014","101.36","102.97","103.44","101.18","-1.86%"
"Mar 02, 2014","103.28","101.54","103.78","101.17","1.44%"
"Feb 23, 2014","101.81","102.53","102.69","101.53","-0.70%"
"Feb 16, 2014","102.53","101.80","102.83","101.37","0.72%"
"Feb 09, 2014","101.80","102.28","102.73","101.55","-0.53%"
"Feb 02, 2014","102.34","102.02","102.58","100.74","0.30%"
"Jan 26, 2014","102.03","102.37","103.44","101.77","-0.26%"
"Jan 19, 2014","102.30","104.26","104.84","101.98","-1.93%"
"Jan 12, 2014","104.31","104.09","104.94","102.83","0.15%"
"Jan 05, 2014","104.15","104.85","105.15","103.82","-0.68%"
"Dec 29, 2013","104.86","105.13","105.47","104.05","-0.29%"
"Dec 22, 2013","105.17","104.08","105.20","103.75","1.05%"
"Dec 15, 2013","104.08","103.19","104.64","102.47","0.83%"
"Dec 08, 2013","103.22","102.90","103.95","102.19","0.30%"
"Dec 01, 2013","102.91","102.42","103.38","101.61","0.46%"
"Nov 24, 2013","102.44","101.25","102.64","101.11","1.15%"
"Nov 17, 2013","101.28","100.16","101.36","99.55","1.09%"
"Nov 10, 2013","100.19","99.16","100.44","98.89","1.12%"
"Nov 03, 2013","99.08","98.70","99.42","97.63","0.40%"
"Oct 27, 2013","98.69","97.55","98.86","97.43","1.30%"
"Oct 20, 2013","97.42","97.70","98.49","96.92","-0.32%"
"Oct 13, 2013","97.73","98.07","99.03","97.53","-0.86%"
"Oct 06, 2013","98.58","97.42","98.61","96.55","1.14%"
"Sep 29, 2013","97.47","97.92","98.73","96.92","-0.80%"
"Sep 22, 2013","98.26","99.15","99.38","98.07","-1.06%"
"Sep 15, 2013","99.31","99.45","99.69","97.75","-0.05%"
"Sep 08, 2013","99.36","99.82","100.62","98.99","0.25%"
"Sep 01, 2013","99.11","98.34","100.23","98.25","0.96%"
"Aug 25, 2013","98.17","98.20","98.86","96.83","-0.59%"
"Aug 18, 2013","98.75","97.51","99.16","96.88","1.25%"
"Aug 11, 2013","97.53","96.19","98.65","95.92","1.36%"
"Aug 04, 2013","96.22","98.88","99.17","95.79","-2.78%"
"Jul 28, 2013","98.97","98.08","99.97","97.56","0.70%"
"Jul 21, 2013","98.28","100.70","100.73","97.94","-2.35%"
"Jul 14, 2013","100.65","99.30","100.87","98.88","1.44%"
"Jul 07, 2013","99.22","101.17","101.55","98.27","-1.96%"
"Jun 30, 2013","101.20","99.25","101.24","99.16","2.08%"
"Jun 23, 2013","99.14","97.84","99.47","96.96","1.27%"
"Jun 16, 2013","97.90","94.10","98.29","94.08","4.06%"
"Jun 09, 2013","94.08","97.50","99.30","93.78","-3.56%"
"Jun 02, 2013","97.55","100.35","100.73","95.02","-2.92%"
"May 26, 2013","100.48","101.30","102.55","100.23","-0.80%"
"May 19, 2013","101.29","102.94","103.75","100.68","-1.86%"
"May 12, 2013","103.21","101.84","103.33","101.24","1.57%"
"May 05, 2013","101.61","99.06","102.02","98.57","2.61%"
"Apr 28, 2013","99.03","98.03","99.28","97.01","1.00%"
"Apr 21, 2013","98.05","99.75","99.90","97.54","-1.48%"
"Apr 14, 2013","99.52","97.78","99.70","95.93","1.14%"
"Apr 07, 2013","98.40","97.84","99.96","97.83","0.89%"
"Mar 31, 2013","97.53","94.18","97.84","92.54","3.51%"
"Mar 24, 2013","94.22","94.31","94.99","93.53","-0.32%"
"Mar 17, 2013","94.52","94.10","96.14","94.03","-0.80%"
"Mar 10, 2013","95.28","95.95","96.75","95.06","-0.78%"
"Mar 03, 2013","96.03","93.56","96.55","92.89","2.61%"
"Feb 24, 2013","93.59","93.96","94.79","90.92","0.19%"
"Feb 17, 2013","93.41","93.65","94.22","92.76","-0.12%"
"Feb 10, 2013","93.52","92.83","94.45","92.21","0.90%"
"Feb 03, 2013","92.69","92.82","94.08","91.96","-0.03%"
"Jan 27, 2013","92.72","90.90","92.97","90.30","1.98%"
"Jan 20, 2013","90.92","89.96","91.20","88.03","0.93%"
"Jan 13, 2013","90.08","89.24","90.22","87.77","1.01%"
"Jan 06, 2013","89.18","88.17","89.45","86.81","1.17%"
"Dec 30, 2012","88.15","85.78","88.43","85.68","2.48%"
"Dec 23, 2012","86.02","84.21","86.64","84.20","2.13%"
"Dec 16, 2012","84.23","84.35","84.64","83.58","0.90%"
"Dec 09, 2012","83.48","82.35","83.97","82.09","1.21%"
"Dec 02, 2012","82.48","82.35","82.84","81.69","0.00%"
"Nov 25, 2012","82.48","82.39","82.77","81.67","0.07%"
"Nov 18, 2012","82.42","81.26","82.83","81.06","1.38%"
"Nov 11, 2012","81.30","79.46","81.49","79.18","2.26%"
"Nov 04, 2012","79.50","80.27","80.58","79.06","-1.21%"
"Oct 28, 2012","80.47","79.63","80.70","79.25","1.03%"
"Oct 21, 2012","79.65","79.30","80.38","79.19","0.42%"
"Oct 14, 2012","79.32","78.39","79.47","78.30","1.12%"
"Oct 07, 2012","78.44","78.66","78.78","77.92","-0.29%"
"Sep 30, 2012","78.67","77.89","78.89","77.77","0.96%"
"Sep 23, 2012","77.92","78.15","78.19","77.41","-0.32%"
"Sep 16, 2012","78.17","78.37","79.23","78.00","-0.28%"
"Sep 09, 2012","78.39","78.22","78.39","77.11","0.15%"
"Sep 02, 2012","78.27","78.37","79.05","78.00","-0.15%"
"Aug 26, 2012","78.39","78.64","78.86","78.18","-0.36%"
"Aug 19, 2012","78.67","79.48","79.69","78.33","-1.12%"
"Aug 12, 2012","79.56","78.22","79.59","78.14","1.64%"
"Aug 05, 2012","78.28","78.46","78.82","78.12","-0.25%"
"Jul 29, 2012","78.48","78.44","78.80","77.91","0.08%"
"Jul 22, 2012","78.42","78.43","78.69","77.95","-0.09%"
"Jul 15, 2012","78.49","79.23","79.32","78.42","-0.92%"
"Jul 08, 2012","79.22","79.65","79.98","79.07","-0.56%"
"Jul 01, 2012","79.67","79.89","80.11","79.29","-0.18%"
"Jun 24, 2012","79.81","80.46","80.62","79.14","-0.76%"
"Jun 17, 2012","80.42","78.90","80.58","78.77","2.16%"
"Jun 10, 2012","78.72","79.55","79.77","78.59","-0.97%"
"Jun 03, 2012","79.49","78.07","79.81","77.96","1.88%"
"May 27, 2012","78.02","79.66","79.69","77.65","-2.08%"
"May 20, 2012","79.68","79.17","80.17","79.08","0.82%"
"May 13, 2012","79.03","79.95","80.56","78.97","-1.16%"
"May 06, 2012","79.96","79.75","80.11","79.41","0.14%"
"Apr 29, 2012","79.85","80.26","80.63","79.62","-0.52%"
"Apr 22, 2012","80.27","81.55","81.69","80.20","-1.58%"
"Apr 15, 2012","81.56","80.88","81.78","80.31","0.78%"
"Apr 08, 2012","80.93","81.54","81.89","80.57","-0.87%"
"Apr 01, 2012","81.64","82.99","83.30","81.29","-1.41%"
"Mar 25, 2012","82.81","82.41","83.41","81.82","0.57%"
"Mar 18, 2012","82.34","83.37","84.12","81.97","-1.33%"
"Mar 11, 2012","83.45","82.44","84.21","81.95","1.21%"
"Mar 04, 2012","82.45","81.78","82.67","80.56","0.79%"
"Feb 26, 2012","81.80","81.28","81.86","79.99","1.01%"
"Feb 19, 2012","80.98","79.63","81.04","79.34","1.85%"
"Feb 12, 2012","79.51","77.54","79.54","77.35","2.38%"
"Feb 05, 2012","77.66","76.60","77.82","76.46","1.44%"
"Jan 29, 2012","76.56","76.66","76.78","76.00","-0.14%"
"Jan 22, 2012","76.67","76.93","78.28","76.62","-0.39%"
"Jan 15, 2012","76.97","77.11","77.31","76.54","0.04%"
"Jan 08, 2012","76.94","76.89","77.05","76.63","-0.06%"
"Jan 01, 2012","76.99","76.93","77.33","76.58","0.04%"
"Dec 25, 2011","76.96","78.05","78.11","76.88","-1.42%"
"Dec 18, 2011","78.07","77.76","78.24","77.66","0.37%"
"Dec 11, 2011","77.78","77.68","78.17","77.55","0.32%"
"Dec 04, 2011","77.53","78.00","78.11","77.13","-0.63%"
"Nov 27, 2011","78.02","77.56","78.28","77.28","0.36%"
"Nov 20, 2011","77.74","76.86","77.80","76.72","1.03%"
"Nov 13, 2011","76.95","77.19","77.35","76.55","-0.22%"
"Nov 06, 2011","77.12","78.17","78.19","77.03","-1.42%"
"Oct 30, 2011","78.23","75.73","79.52","75.55","3.18%"
"Oct 23, 2011","75.82","76.16","76.49","75.64","-0.62%"
"Oct 16, 2011","76.29","77.10","77.48","75.83","-1.20%"
"Oct 09, 2011","77.22","76.76","77.50","76.30","0.64%"
"Oct 02, 2011","76.73","77.14","77.28","76.49","-0.43%"
"Sep 25, 2011","77.06","76.50","77.22","76.21","0.59%"
"Sep 18, 2011","76.61","76.95","77.01","76.09","-0.25%"
"Sep 11, 2011","76.80","77.53","77.61","76.51","-1.01%"
"Sep 04, 2011","77.58","76.82","77.88","76.66","1.02%"
"Aug 28, 2011","76.80","76.71","77.27","76.40","0.22%"
"Aug 21, 2011","76.63","76.77","77.72","76.39","0.10%"
"Aug 14, 2011","76.55","76.87","77.11","75.93","-0.18%"
"Aug 07, 2011","76.69","78.11","78.44","76.29","-2.18%"
"Jul 31, 2011","78.40","77.41","80.26","76.29","2.15%"
"Jul 24, 2011","76.75","78.25","78.61","76.72","-2.27%"
"Jul 17, 2011","78.53","79.06","79.33","78.21","-0.75%"
"Jul 10, 2011","79.12","80.50","80.84","78.45","-1.88%"
"Jul 03, 2011","80.64","80.78","81.50","80.48","-0.24%"
"Jun 26, 2011","80.83","80.39","81.27","80.23","0.50%"
"Jun 19, 2011","80.43","80.08","80.81","79.98","0.46%"
"Jun 12, 2011","80.06","80.34","81.08","79.99","-0.34%"
"Jun 05, 2011","80.33","80.19","80.48","79.67","0.06%"
"May 29, 2011","80.28","80.76","81.79","80.03","-0.64%"
"May 22, 2011","80.80","81.77","82.23","80.69","-1.11%"
"May 15, 2011","81.71","80.87","82.25","80.62","1.14%"
"May 08, 2011","80.79","80.67","81.35","80.13","0.20%"
"May 01, 2011","80.63","81.11","81.70","79.55","-0.74%"
"Apr 24, 2011","81.23","81.83","82.79","81.02","-0.75%"
"Apr 17, 2011","81.84","83.17","83.28","81.60","-1.55%"
"Apr 10, 2011","83.13","84.87","85.20","82.94","-1.88%"
"Apr 03, 2011","84.72","84.15","85.56","83.82","0.79%"
"Mar 27, 2011","84.06","81.33","84.74","81.33","3.36%"
"Mar 20, 2011","81.33","80.78","81.50","80.68","0.89%"
"Mar 13, 2011","80.61","81.81","82.45","76.25","-1.60%"
"Mar 06, 2011","81.92","82.28","83.31","81.64","-0.44%"
"Feb 27, 2011","82.28","81.68","83.02","81.55","0.72%"
"Feb 20, 2011","81.69","83.09","83.50","81.60","-1.65%"
"Feb 13, 2011","83.06","83.54","83.98","83.04","-0.46%"
"Feb 06, 2011","83.44","82.20","83.67","81.75","1.53%"
"Jan 30, 2011","82.18","81.98","82.46","81.09","0.07%"
"Jan 23, 2011","82.12","82.51","83.20","81.96","-0.57%"
"Jan 16, 2011","82.59","82.80","83.12","81.82","-0.43%"
"Jan 09, 2011","82.95","83.21","83.54","82.38","-0.11%"
"Jan 02, 2011","83.04","81.18","83.67","80.94","2.30%"
"Dec 26, 2010","81.17","82.89","82.97","80.92","-2.08%"
"Dec 19, 2010","82.89","83.99","84.11","82.83","-1.29%"
"Dec 12, 2010","83.97","83.95","84.51","82.82","0.04%"
"Dec 05, 2010","83.94","82.61","84.30","82.31","1.57%"
"Nov 28, 2010","82.64","84.02","84.40","82.51","-1.75%"
"Nov 21, 2010","84.11","83.48","84.18","82.76","0.77%"
"Nov 14, 2010","83.47","82.45","83.78","82.37","1.16%"
"Nov 07, 2010","82.51","81.24","82.79","80.50","1.53%"
"Oct 31, 2010","81.27","80.29","81.56","80.22","1.09%"
"Oct 24, 2010","80.39","81.42","81.98","80.37","-1.20%"
"Oct 17, 2010","81.37","81.39","81.92","80.83","-0.10%"
"Oct 10, 2010","81.45","81.74","82.34","80.87","-0.57%"
"Oct 03, 2010","81.92","83.23","83.98","81.71","-1.56%"
"Sep 26, 2010","83.22","84.33","84.39","83.13","-1.16%"
"Sep 19, 2010","84.20","85.73","85.80","84.09","-1.93%"
"Sep 12, 2010","85.86","84.18","85.93","82.85","2.01%"
"Sep 05, 2010","84.17","84.37","84.49","83.32","-0.17%"
"Aug 29, 2010","84.31","85.33","85.92","83.67","-1.07%"
"Aug 22, 2010","85.22","85.58","85.68","83.57","-0.47%"
"Aug 15, 2010","85.62","86.20","86.28","84.87","-0.66%"
"Aug 08, 2010","86.19","85.43","86.39","84.71","0.80%"
"Aug 01, 2010","85.51","86.38","86.88","85.00","-1.11%"
"Jul 25, 2010","86.47","87.48","88.11","85.93","-1.14%"
"Jul 18, 2010","87.47","86.57","87.58","86.32","0.99%"
"Jul 11, 2010","86.61","88.65","89.15","86.25","-2.26%"
"Jul 04, 2010","88.61","87.70","88.71","87.00","0.96%"
"Jun 27, 2010","87.77","89.32","89.47","86.94","-1.63%"
"Jun 20, 2010","89.22","90.36","91.48","89.19","-1.63%"
"Jun 13, 2010","90.70","91.77","92.11","90.42","-1.03%"
"Jun 06, 2010","91.64","91.81","92.08","90.82","-0.30%"
"May 30, 2010","91.92","91.01","92.89","90.52","0.93%"
"May 23, 2010","91.07","90.19","91.41","89.24","1.16%"
