"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2018","48,730.0","48,500.0","48,920.0","47,940.0","537.30K","-0.25%"
"May 07, 2018","48,850.0","49,500.0","49,520.0","48,600.0","494.00K","-0.75%"
"May 02, 2018","49,220.0","49,480.0","49,750.0","48,970.0","579.40K","0.37%"
"May 01, 2018","49,040.0","48,530.0","49,040.0","48,360.0","599.60K","1.72%"
"Apr 27, 2018","48,210.0","47,810.0","48,420.0","47,610.0","652.30K","1.95%"
"Apr 26, 2018","47,290.0","47,270.0","47,620.0","47,140.0","819.00K","0.49%"
"Apr 25, 2018","47,060.0","46,510.0","47,530.0","46,510.0","595.80K","0.00%"
"Apr 24, 2018","47,060.0","47,570.0","47,800.0","47,060.0","583.20K","-0.08%"
"Apr 23, 2018","47,100.0","47,280.0","47,550.0","47,040.0","357.90K","-0.86%"
"Apr 20, 2018","47,510.0","47,330.0","47,720.0","47,120.0","559.10K","0.87%"
"Apr 19, 2018","47,100.0","47,530.0","47,760.0","47,000.0","682.00K","-0.67%"
"Apr 18, 2018","47,420.0","46,670.0","47,910.0","46,670.0","828.90K","2.11%"
"Apr 17, 2018","46,440.0","46,030.0","46,680.0","45,950.0","715.00K","1.42%"
"Apr 16, 2018","45,790.0","46,820.0","46,870.0","45,750.0","781.50K","-2.30%"
"Apr 13, 2018","46,870.0","48,500.0","48,540.0","46,720.0","1.35M","-0.06%"
"Apr 12, 2018","46,900.0","46,270.0","46,900.0","46,180.0","594.70K","2.07%"
"Apr 11, 2018","45,950.0","46,600.0","46,750.0","45,510.0","699.00K","-1.29%"
"Apr 10, 2018","46,550.0","46,120.0","46,980.0","45,950.0","723.40K","-0.15%"
"Apr 09, 2018","46,620.0","46,340.0","46,820.0","46,180.0","651.90K","0.76%"
"Apr 06, 2018","46,270.0","46,400.0","46,770.0","46,020.0","1.02M","-0.49%"
"Apr 05, 2018","46,500.0","45,880.0","46,560.0","45,560.0","947.10K","2.88%"
"Apr 04, 2018","45,200.0","45,100.0","45,330.0","44,530.0","1.16M","2.98%"
"Apr 03, 2018","43,890.0","42,580.0","44,070.0","42,570.0","966.10K","1.06%"
"Apr 02, 2018","43,430.0","43,110.0","43,840.0","42,880.0","641.70K","0.44%"
"Mar 30, 2018","43,240.0","42,290.0","43,310.0","42,230.0","872.70K","3.10%"
"Mar 29, 2018","41,940.0","41,600.0","42,440.0","41,490.0","850.90K","2.54%"
"Mar 28, 2018","40,900.0","40,480.0","41,000.0","40,170.0","936.20K","-0.34%"
"Mar 27, 2018","41,040.0","40,550.0","41,080.0","40,330.0","945.20K","2.17%"
"Mar 26, 2018","40,170.0","39,390.0","40,190.0","38,900.0","898.60K","1.29%"
"Mar 23, 2018","39,660.0","40,920.0","41,180.0","39,340.0","1.65M","-6.29%"
"Mar 22, 2018","42,320.0","41,600.0","42,320.0","41,580.0","642.30K","1.27%"
"Mar 20, 2018","41,790.0","41,660.0","41,960.0","41,300.0","611.20K","0.10%"
"Mar 19, 2018","41,750.0","41,390.0","41,940.0","41,340.0","622.50K","-0.67%"
"Mar 16, 2018","42,030.0","42,480.0","42,480.0","41,950.0","496.40K","-0.38%"
"Mar 15, 2018","42,190.0","42,000.0","42,280.0","41,590.0","518.70K","0.31%"
"Mar 14, 2018","42,060.0","42,600.0","42,750.0","41,950.0","639.50K","-2.57%"
"Mar 13, 2018","43,170.0","42,820.0","43,190.0","42,360.0","523.20K","0.37%"
"Mar 12, 2018","43,010.0","43,640.0","43,960.0","42,610.0","778.60K","1.44%"
"Mar 09, 2018","42,400.0","42,540.0","43,640.0","42,240.0","1.59M","0.55%"
"Mar 08, 2018","42,170.0","43,040.0","43,220.0","41,980.0","806.10K","-0.71%"
"Mar 07, 2018","42,470.0","42,690.0","43,090.0","42,220.0","882.00K","-1.46%"
"Mar 06, 2018","43,100.0","42,830.0","43,220.0","42,550.0","764.90K","2.81%"
"Mar 05, 2018","41,920.0","41,350.0","41,960.0","41,170.0","967.10K","2.29%"
"Mar 02, 2018","40,980.0","40,600.0","41,370.0","40,420.0","1.29M","-2.61%"
"Mar 01, 2018","42,080.0","42,090.0","42,470.0","41,880.0","780.90K","-1.15%"
"Feb 28, 2018","42,570.0","43,340.0","43,450.0","42,570.0","737.30K","-2.52%"
"Feb 27, 2018","43,670.0","43,920.0","44,220.0","43,570.0","795.00K","0.78%"
"Feb 26, 2018","43,330.0","43,210.0","43,520.0","42,980.0","569.70K","1.52%"
"Feb 23, 2018","42,680.0","42,440.0","42,720.0","42,080.0","572.90K","0.83%"
"Feb 22, 2018","42,330.0","42,240.0","42,530.0","41,960.0","770.00K","-1.42%"
"Feb 21, 2018","42,940.0","42,560.0","43,600.0","42,260.0","884.30K","0.54%"
"Feb 20, 2018","42,710.0","43,350.0","43,400.0","42,610.0","634.90K","-2.20%"
"Feb 19, 2018","43,670.0","43,000.0","43,780.0","42,840.0","776.20K","2.51%"
"Feb 16, 2018","42,600.0","41,840.0","42,830.0","41,520.0","883.90K","1.82%"
"Feb 15, 2018","41,840.0","41,500.0","42,190.0","41,300.0","971.70K","2.10%"
"Feb 14, 2018","40,980.0","41,120.0","41,400.0","40,450.0","1.05M","-0.10%"
"Feb 13, 2018","41,020.0","42,000.0","42,140.0","41,010.0","1.01M","-1.11%"
"Feb 09, 2018","41,480.0","41,220.0","41,920.0","41,050.0","1.67M","-3.69%"
"Feb 08, 2018","43,070.0","43,370.0","43,610.0","42,330.0","1.20M","-0.71%"
"Feb 07, 2018","43,380.0","45,350.0","45,510.0","43,240.0","1.49M","-1.41%"
"Feb 06, 2018","44,000.0","44,270.0","45,160.0","42,580.0","2.18M","-5.46%"
"Feb 05, 2018","46,540.0","46,620.0","47,290.0","46,350.0","1.19M","-4.28%"
"Feb 02, 2018","48,620.0","48,960.0","49,080.0","48,420.0","646.60K","-1.96%"
"Feb 01, 2018","49,590.0","49,020.0","49,620.0","48,710.0","508.30K","1.85%"
"Jan 31, 2018","48,690.0","48,330.0","49,330.0","48,100.0","796.80K","0.74%"
"Jan 30, 2018","48,330.0","49,100.0","49,320.0","48,210.0","741.70K","-2.25%"
"Jan 29, 2018","49,440.0","49,720.0","50,070.0","49,160.0","586.60K","-0.14%"
"Jan 26, 2018","49,510.0","49,780.0","50,070.0","49,270.0","686.40K","0.39%"
"Jan 25, 2018","49,320.0","49,950.0","50,130.0","49,260.0","677.50K","-2.47%"
"Jan 24, 2018","50,570.0","50,840.0","51,120.0","50,280.0","527.40K","-0.55%"
"Jan 23, 2018","50,850.0","50,350.0","50,990.0","49,840.0","736.90K","1.86%"
"Jan 22, 2018","49,920.0","50,000.0","50,120.0","49,570.0","465.10K","-0.76%"
"Jan 19, 2018","50,300.0","50,720.0","50,850.0","50,240.0","608.80K","-0.49%"
"Jan 18, 2018","50,550.0","51,200.0","51,580.0","50,310.0","1.27M","0.34%"
"Jan 17, 2018","50,380.0","50,060.0","50,560.0","49,690.0","1.09M","-1.10%"
"Jan 16, 2018","50,940.0","49,580.0","51,110.0","49,400.0","831.60K","2.83%"
"Jan 15, 2018","49,540.0","50,150.0","50,260.0","49,340.0","809.50K","-0.14%"
"Jan 12, 2018","49,610.0","48,000.0","50,150.0","47,790.0","2.04M","6.00%"
"Jan 11, 2018","46,800.0","46,990.0","47,220.0","46,540.0","525.90K","0.00%"
"Jan 10, 2018","46,800.0","47,420.0","47,490.0","46,800.0","464.70K","-1.24%"
"Jan 09, 2018","47,390.0","47,870.0","47,960.0","47,270.0","734.50K","1.17%"
"Jan 05, 2018","46,840.0","46,730.0","47,100.0","46,170.0","731.10K","0.86%"
"Jan 04, 2018","46,440.0","45,580.0","46,630.0","45,510.0","997.90K","3.41%"
"Dec 29, 2017","44,910.0","45,070.0","45,240.0","44,760.0","355.90K","-0.18%"
"Dec 28, 2017","44,990.0","45,230.0","45,370.0","44,880.0","355.10K","-0.84%"
"Dec 27, 2017","45,370.0","44,760.0","45,410.0","44,560.0","402.80K","1.73%"
"Dec 26, 2017","44,600.0","44,770.0","44,800.0","44,460.0","274.10K","-0.11%"
"Dec 25, 2017","44,650.0","44,630.0","44,920.0","44,570.0","198.90K","-0.69%"
"Dec 22, 2017","44,960.0","44,510.0","45,210.0","44,510.0","454.60K","0.81%"
"Dec 21, 2017","44,600.0","45,240.0","45,320.0","44,510.0","400.10K","-1.41%"
"Dec 20, 2017","45,240.0","45,370.0","45,670.0","45,130.0","299.60K","-0.42%"
"Dec 19, 2017","45,430.0","45,450.0","45,900.0","45,240.0","460.70K","1.07%"
"Dec 18, 2017","44,950.0","45,100.0","45,210.0","44,680.0","537.40K","0.78%"
"Dec 15, 2017","44,600.0","43,920.0","45,080.0","43,840.0","646.90K","1.25%"
"Dec 14, 2017","44,050.0","44,100.0","44,400.0","43,980.0","393.50K","-0.65%"
"Dec 13, 2017","44,340.0","44,480.0","44,720.0","44,080.0","531.10K","0.00%"
"Dec 12, 2017","44,340.0","44,630.0","44,770.0","44,320.0","511.20K","-0.65%"
"Dec 11, 2017","44,630.0","44,800.0","45,000.0","44,410.0","562.80K","-0.09%"
"Dec 08, 2017","44,670.0","43,710.0","44,740.0","43,500.0","1.61M","3.24%"
"Dec 07, 2017","43,270.0","42,730.0","43,420.0","42,640.0","876.90K","2.37%"
"Dec 06, 2017","42,270.0","43,820.0","43,860.0","42,130.0","1.49M","-4.86%"
"Dec 05, 2017","44,430.0","45,000.0","45,470.0","44,160.0","973.20K","0.66%"
"Dec 04, 2017","44,140.0","43,660.0","44,170.0","43,420.0","650.50K","1.10%"
"Dec 01, 2017","43,660.0","43,950.0","44,120.0","43,270.0","876.60K","0.34%"
"Nov 30, 2017","43,510.0","42,500.0","43,540.0","42,390.0","1.03M","2.86%"
"Nov 29, 2017","42,300.0","42,000.0","42,330.0","41,670.0","807.00K","1.56%"
"Nov 28, 2017","41,650.0","41,190.0","41,660.0","41,080.0","905.70K","1.12%"
"Nov 27, 2017","41,190.0","41,080.0","41,500.0","40,770.0","602.10K","1.13%"
"Nov 24, 2017","40,730.0","40,230.0","40,780.0","40,160.0","427.20K","0.27%"
"Nov 22, 2017","40,620.0","40,860.0","41,090.0","40,550.0","726.00K","0.57%"
"Nov 21, 2017","40,390.0","40,600.0","40,920.0","40,310.0","616.70K","0.50%"
"Nov 20, 2017","40,190.0","40,190.0","40,620.0","39,910.0","476.20K","-0.22%"
"Nov 17, 2017","40,280.0","40,650.0","41,120.0","39,900.0","1.39M","1.23%"
"Nov 16, 2017","39,790.0","38,890.0","39,880.0","38,820.0","869.30K","2.21%"
"Nov 15, 2017","38,930.0","38,960.0","39,490.0","38,800.0","1.06M","-0.66%"
"Nov 14, 2017","39,190.0","39,130.0","39,800.0","39,050.0","768.40K","-0.56%"
"Nov 13, 2017","39,410.0","40,310.0","40,350.0","39,410.0","908.60K","-3.05%"
"Nov 10, 2017","40,650.0","39,700.0","40,660.0","39,530.0","1.63M","1.98%"
"Nov 09, 2017","39,860.0","39,890.0","41,200.0","38,980.0","1.87M","0.45%"
"Nov 08, 2017","39,680.0","39,670.0","39,910.0","39,460.0","721.40K","-0.58%"
"Nov 07, 2017","39,910.0","38,620.0","40,000.0","38,420.0","1.23M","3.39%"
"Nov 06, 2017","38,600.0","38,300.0","38,790.0","38,140.0","864.80K","2.20%"
"Nov 02, 2017","37,770.0","37,700.0","37,990.0","37,400.0","728.90K","0.40%"
"Nov 01, 2017","37,620.0","37,670.0","37,860.0","37,360.0","675.30K","0.03%"
"Oct 31, 2017","37,610.0","37,260.0","37,620.0","37,060.0","610.20K","0.00%"
"Oct 30, 2017","37,610.0","38,010.0","38,160.0","37,540.0","654.70K","-0.69%"
"Oct 27, 2017","37,870.0","37,360.0","38,120.0","37,160.0","870.90K","1.94%"
"Oct 26, 2017","37,150.0","36,790.0","37,160.0","36,760.0","543.30K","1.17%"
"Oct 25, 2017","36,720.0","37,300.0","37,340.0","36,580.0","817.20K","-0.94%"
"Oct 24, 2017","37,070.0","36,750.0","37,080.0","36,610.0","544.50K","0.32%"
