"Date","Price_Nikkei","Open","High","Low","Vol.","Change %"
"May 06, 2018","22,555.00","22,512.50","22,565.00","22,350.00","-","0.37%"
"Apr 29, 2018","22,472.78","22,453.42","22,568.19","22,411.43","1.66B","0.02%"
"Apr 22, 2018","22,467.87","22,157.88","22,495.56","22,065.52","3.88B","1.38%"
"Apr 15, 2018","22,162.24","21,843.55","22,360.65","21,772.42","3.41B","1.76%"
"Apr 08, 2018","21,778.74","21,534.33","21,933.99","21,517.77","3.48B","0.98%"
"Apr 01, 2018","21,567.52","21,441.57","21,742.84","21,056.02","3.53B","0.53%"
"Mar 25, 2018","21,454.30","20,423.37","21,512.80","20,347.49","4.43B","4.06%"
"Mar 18, 2018","20,617.86","21,537.90","21,659.04","20,559.61","3.48B","-4.88%"
"Mar 11, 2018","21,676.51","21,826.10","21,971.16","21,555.49","3.55B","0.97%"
"Mar 04, 2018","21,469.20","21,047.81","21,884.45","20,937.26","4.47B","1.36%"
"Feb 25, 2018","21,181.64","22,134.64","22,502.05","21,088.96","4.28B","-3.25%"
"Feb 18, 2018","21,892.78","21,903.66","22,152.85","21,626.85","3.67B","0.79%"
"Feb 11, 2018","21,720.25","21,633.34","21,866.37","20,950.15","3.95B","1.58%"
"Feb 04, 2018","21,382.62","22,921.16","22,967.69","21,078.71","6.94B","-8.13%"
"Jan 28, 2018","23,274.53","23,707.14","23,787.23","23,092.85","4.72B","-1.51%"
"Jan 21, 2018","23,631.88","23,797.84","24,129.34","23,592.28","3.99B","-0.74%"
"Jan 14, 2018","23,808.06","23,827.98","24,084.42","23,685.02","4.10B","0.65%"
"Jan 07, 2018","23,653.82","23,948.97","23,952.61","23,588.07","3.71B","-0.26%"
"Dec 31, 2017","23,714.53","23,073.73","23,730.47","23,065.20","2.11B","4.17%"
"Dec 24, 2017","22,764.94","22,909.41","22,954.45","22,736.43","2.41B","-0.60%"
"Dec 17, 2017","22,902.76","22,770.44","22,990.42","22,728.06","4.11B","1.55%"
"Dec 10, 2017","22,553.22","22,894.30","22,994.33","22,478.32","4.45B","-1.13%"
"Dec 03, 2017","22,811.08","22,843.53","22,864.33","22,119.21","4.42B","-0.03%"
"Nov 26, 2017","22,819.03","22,657.08","22,994.31","22,363.94","4.79B","1.19%"
"Nov 19, 2017","22,550.85","22,279.98","22,677.34","22,215.07","3.03B","0.69%"
"Nov 12, 2017","22,396.80","22,607.56","22,757.40","21,972.34","5.23B","-1.25%"
"Nov 05, 2017","22,681.42","22,612.96","23,382.15","22,435.34","6.05B","0.63%"
"Oct 29, 2017","22,539.12","22,047.95","22,540.25","21,840.07","4.71B","2.41%"
"Oct 22, 2017","22,008.45","21,709.30","22,016.50","21,614.51","5.16B","2.57%"
"Oct 15, 2017","21,457.64","21,221.27","21,503.85","21,187.93","4.51B","1.43%"
"Oct 08, 2017","21,155.18","20,680.54","21,211.29","20,663.08","3.60B","2.24%"
"Oct 01, 2017","20,690.71","20,400.51","20,721.15","20,363.28","3.58B","1.64%"
"Sep 24, 2017","20,356.28","20,439.43","20,454.29","20,213.66","4.23B","0.29%"
"Sep 17, 2017","20,296.45","20,128.18","20,481.27","20,122.00","4.46B","1.94%"
"Sep 10, 2017","19,909.50","19,441.39","19,933.40","19,437.14","4.73B","3.29%"
"Sep 03, 2017","19,274.82","19,615.96","19,628.40","19,239.52","4.39B","-2.12%"
"Aug 27, 2017","19,691.47","19,502.23","19,735.96","19,280.02","4.26B","1.23%"
"Aug 20, 2017","19,452.61","19,509.53","19,561.32","19,351.92","3.82B","-0.09%"
"Aug 13, 2017","19,470.41","19,545.58","19,824.12","19,433.09","4.49B","-1.31%"
"Aug 06, 2017","19,729.74","20,059.29","20,085.90","19,660.22","3.76B","-1.12%"
"Jul 30, 2017","19,952.33","19,933.45","20,113.73","19,891.90","5.28B","-0.04%"
"Jul 23, 2017","19,959.84","19,973.67","20,176.39","19,901.88","4.49B","-0.70%"
"Jul 16, 2017","20,099.75","20,074.41","20,157.11","19,943.14","3.44B","-0.09%"
"Jul 09, 2017","20,118.86","20,070.44","20,200.88","20,023.03","4.31B","0.95%"
"Jul 02, 2017","19,929.09","20,056.32","20,197.16","19,856.65","4.77B","-0.52%"
"Jun 25, 2017","20,033.43","20,132.81","20,266.59","19,946.51","5.34B","-0.49%"
"Jun 18, 2017","20,132.67","19,974.30","20,318.11","19,949.88","4.53B","0.95%"
"Jun 11, 2017","19,943.26","19,920.77","20,015.16","19,755.34","5.61B","-0.35%"
"Jun 04, 2017","20,013.26","20,135.42","20,224.54","19,896.35","5.89B","-0.81%"
"May 28, 2017","20,177.28","19,697.18","20,239.81","19,570.13","5.35B","2.49%"
"May 21, 2017","19,686.84","19,670.48","19,850.93","19,585.54","4.56B","0.49%"
"May 14, 2017","19,590.76","19,753.46","19,998.49","19,449.73","6.48B","-1.47%"
"May 07, 2017","19,883.90","19,709.01","19,989.94","19,705.13","6.95B","2.25%"
"Apr 30, 2017","19,445.70","19,154.03","19,464.30","19,144.62","2.26B","1.30%"
"Apr 23, 2017","19,196.74","18,890.38","19,289.43","18,840.13","5.98B","3.09%"
"Apr 16, 2017","18,620.75","18,239.84","18,648.28","18,224.68","5.47B","1.56%"
"Apr 09, 2017","18,335.63","18,800.22","18,850.80","18,285.73","5.86B","-1.76%"
"Apr 02, 2017","18,664.63","18,988.00","19,068.62","18,517.43","6.98B","-1.29%"
"Mar 26, 2017","18,909.26","19,071.19","19,251.30","18,909.26","6.32B","-1.83%"
"Mar 19, 2017","19,262.53","19,416.55","19,485.14","18,973.75","4.87B","-1.33%"
"Mar 12, 2017","19,521.59","19,545.74","19,656.48","19,454.17","5.91B","-0.42%"
"Mar 05, 2017","19,604.61","19,409.18","19,623.72","19,198.78","5.46B","0.70%"
"Feb 26, 2017","19,469.17","19,130.51","19,668.01","18,995.55","6.47B","0.96%"
"Feb 19, 2017","19,283.54","19,161.33","19,419.22","19,115.11","6.46B","0.25%"
"Feb 12, 2017","19,234.62","19,513.78","19,519.44","19,173.53","6.85B","-0.74%"
"Feb 05, 2017","19,378.93","19,069.72","19,395.99","18,805.32","6.09B","2.44%"
"Jan 29, 2017","18,918.20","19,371.28","19,390.97","18,830.89","6.41B","-2.82%"
"Jan 22, 2017","19,467.40","18,938.45","19,486.68","18,783.16","6.62B","1.72%"
"Jan 15, 2017","19,137.91","19,219.13","19,255.41","18,650.33","6.15B","-0.77%"
"Jan 08, 2017","19,287.28","19,414.83","19,484.90","19,069.02","4.69B","-0.86%"
"Jan 01, 2017","19,454.33","19,298.68","19,615.40","19,277.93","4.30B","1.78%"
"Dec 25, 2016","19,114.37","19,394.41","19,478.58","18,991.59","5.69B","-1.61%"
"Dec 18, 2016","19,427.67","19,345.84","19,592.90","19,307.14","4.80B","0.14%"
"Dec 11, 2016","19,401.15","19,183.82","19,439.97","19,054.00","7.89B","2.13%"
"Dec 04, 2016","18,996.37","18,349.92","19,042.48","18,227.39","8.56B","3.10%"
"Nov 27, 2016","18,426.08","18,302.58","18,746.28","18,222.82","8.20B","0.24%"
"Nov 20, 2016","18,381.22","18,038.09","18,482.94","18,007.79","5.72B","2.30%"
"Nov 13, 2016","17,967.41","17,467.49","18,043.72","17,455.78","8.67B","3.41%"
"Nov 06, 2016","17,374.79","17,126.03","17,621.73","16,111.81","9.70B","2.78%"
"Oct 30, 2016","16,905.36","17,360.89","17,473.12","16,801.98","5.50B","-3.10%"
"Oct 23, 2016","17,446.41","17,216.56","17,461.03","17,162.21","5.70B","1.52%"
"Oct 16, 2016","17,184.59","16,871.84","17,288.89","16,821.49","5.22B","1.95%"
"Oct 09, 2016","16,856.37","16,936.31","17,074.46","16,727.78","4.48B","-0.02%"
"Oct 02, 2016","16,860.09","16,566.03","16,971.28","16,554.83","5.25B","2.49%"
"Sep 25, 2016","16,449.84","16,707.45","16,756.43","16,285.41","6.19B","-1.82%"
"Sep 18, 2016","16,754.02","16,403.22","16,823.63","16,399.65","4.51B","1.42%"
"Sep 11, 2016","16,519.29","16,748.36","16,802.00","16,359.78","5.72B","-2.63%"
