"Date","Price_TOPIX","Open","High","Low","Vol.","Change %"
"May 06, 2018","1,777.44","1,773.90","1,785.03","1,764.18","-","0.33%"
"Apr 29, 2018","1,771.52","1,774.36","1,776.89","1,767.57","3.22B","-0.32%"
"Apr 22, 2018","1,777.23","1,753.16","1,780.38","1,749.04","7.64B","1.49%"
"Apr 15, 2018","1,751.13","1,732.09","1,761.61","1,726.68","7.12B","1.26%"
"Apr 08, 2018","1,729.36","1,716.28","1,742.40","1,715.55","7.23B","0.59%"
"Apr 01, 2018","1,719.30","1,716.32","1,732.32","1,687.00","6.80B","0.17%"
"Mar 25, 2018","1,716.30","1,649.60","1,721.04","1,645.16","7.10B","3.08%"
"Mar 18, 2018","1,664.94","1,729.60","1,735.12","1,661.23","5.69B","-4.13%"
"Mar 11, 2018","1,736.63","1,740.67","1,751.03","1,727.44","6.19B","1.23%"
"Mar 04, 2018","1,715.48","1,697.11","1,741.16","1,687.29","7.24B","0.42%"
"Feb 25, 2018","1,708.34","1,774.76","1,794.92","1,700.65","7.23B","-2.96%"
"Feb 18, 2018","1,760.53","1,753.15","1,775.15","1,737.58","6.46B","1.33%"
"Feb 11, 2018","1,737.37","1,751.23","1,751.23","1,691.65","6.80B","0.31%"
"Feb 04, 2018","1,731.97","1,837.56","1,842.17","1,707.07","11.33B","-7.09%"
"Jan 28, 2018","1,864.20","1,881.38","1,889.11","1,836.68","8.37B","-0.81%"
"Jan 21, 2018","1,879.39","1,890.78","1,911.31","1,878.89","7.38B","-0.55%"
"Jan 14, 2018","1,889.74","1,888.63","1,906.39","1,874.78","7.49B","0.72%"
"Jan 07, 2018","1,876.24","1,895.08","1,895.26","1,872.86","6.54B","-0.22%"
"Dec 31, 2017","1,880.34","1,841.20","1,880.34","1,840.40","3.37B","3.45%"
"Dec 24, 2017","1,817.56","1,830.79","1,833.28","1,815.96","5.02B","-0.63%"
"Dec 17, 2017","1,829.08","1,807.50","1,830.13","1,806.03","7.67B","1.99%"
"Dec 10, 2017","1,793.47","1,809.16","1,820.86","1,787.04","8.43B","-0.57%"
"Dec 03, 2017","1,803.73","1,801.50","1,803.84","1,761.18","8.20B","0.40%"
"Nov 26, 2017","1,796.53","1,787.94","1,807.86","1,767.11","8.63B","0.90%"
"Nov 19, 2017","1,780.56","1,756.38","1,785.19","1,753.88","5.92B","0.95%"
"Nov 12, 2017","1,763.76","1,798.04","1,798.04","1,737.72","9.22B","-2.04%"
"Nov 05, 2017","1,800.44","1,798.02","1,844.05","1,784.36","10.34B","0.35%"
"Oct 29, 2017","1,794.08","1,770.94","1,794.38","1,758.81","8.18B","1.30%"
"Oct 22, 2017","1,771.05","1,747.73","1,771.65","1,741.78","8.70B","2.33%"
"Oct 15, 2017","1,730.64","1,713.33","1,733.77","1,711.37","7.80B","1.29%"
"Oct 08, 2017","1,708.62","1,684.66","1,713.65","1,683.93","6.40B","1.27%"
"Oct 01, 2017","1,687.16","1,677.77","1,690.70","1,671.05","7.30B","0.74%"
"Sep 24, 2017","1,674.75","1,674.33","1,676.92","1,658.90","7.85B","0.61%"
"Sep 17, 2017","1,664.61","1,655.89","1,679.83","1,654.96","7.47B","1.57%"
"Sep 10, 2017","1,638.94","1,607.69","1,642.56","1,606.98","8.41B","2.85%"
"Sep 03, 2017","1,593.54","1,613.59","1,616.04","1,578.66","8.29B","-1.61%"
"Aug 27, 2017","1,619.59","1,600.70","1,624.37","1,589.05","7.84B","1.42%"
"Aug 20, 2017","1,596.99","1,601.02","1,611.06","1,592.20","6.96B","-0.02%"
"Aug 13, 2017","1,597.36","1,602.18","1,622.26","1,592.23","8.15B","-1.23%"
"Aug 06, 2017","1,617.25","1,640.47","1,642.34","1,610.46","7.19B","-0.87%"
"Jul 30, 2017","1,631.45","1,618.99","1,638.61","1,616.49","9.19B","0.63%"
