"Date","Price","Open","High","Low","Vol.","Change %"
"May 18","48,830.0","48,570.0","49,710.0","47,960.0","-","1.29%"
"Apr 18","48,210.0","43,110.0","48,540.0","42,570.0","15.32M","11.49%"
"Mar 18","43,240.0","42,090.0","43,960.0","38,900.0","18.06M","1.57%"
"Feb 18","42,570.0","49,020.0","49,620.0","40,450.0","18.54M","-12.57%"
"Jan 18","48,690.0","45,580.0","51,580.0","45,510.0","15.32M","8.42%"
"Dec 17","44,910.0","43,950.0","45,900.0","42,130.0","12.86M","3.22%"
"Nov 17","43,510.0","37,670.0","43,540.0","37,360.0","18.31M","15.69%"
"Oct 17","37,610.0","33,340.0","38,160.0","33,210.0","16.94M","13.32%"
"Sep 17","33,190.0","31,590.0","33,740.0","30,000.0","13.50M","5.47%"
"Aug 17","31,470.0","33,010.0","33,750.0","30,460.0","10.92M","-4.98%"
"Jul 17","33,120.0","37,490.0","38,230.0","32,840.0","12.37M","-11.49%"
"Jun 17","37,420.0","37,020.0","38,710.0","36,380.0","11.62M","0.86%"
"May 17","37,100.0","35,900.0","38,820.0","35,550.0","10.51M","2.04%"
"Apr 17","36,360.0","34,980.0","36,940.0","34,210.0","13.43M","4.12%"
"Mar 17","34,920.0","35,650.0","37,540.0","34,390.0","13.33M","-1.61%"
"Feb 17","35,490.0","35,470.0","37,410.0","34,640.0","9.96M","-0.25%"
"Jan 17","35,580.0","42,480.0","43,330.0","35,330.0","15.38M","-14.94%"
"Dec 16","41,830.0","40,500.0","44,370.0","39,690.0","12.80M","5.71%"
"Nov 16","39,570.0","35,440.0","42,020.0","33,520.0","14.54M","11.59%"
"Oct 16","35,460.0","32,800.0","36,940.0","32,580.0","10.89M","9.82%"
"Sep 16","32,290.0","36,400.0","37,520.0","31,010.0","13.69M","-11.14%"
"Aug 16","36,340.0","33,300.0","38,250.0","33,110.0","18.18M","8.70%"
"Jul 16","33,430.0","27,710.0","35,000.0","25,305.0","15.52M","22.45%"
"Jun 16","27,300.0","29,510.0","30,500.0","26,120.0","17.48M","-8.65%"
"May 16","29,885.0","27,685.0","29,995.0","27,355.0","12.21M","2.40%"
"Apr 16","29,185.0","35,800.0","35,940.0","26,320.0","22.14M","-18.98%"
"Mar 16","36,020.0","31,390.0","37,050.0","30,910.0","15.20M","14.93%"
"Feb 16","31,340.0","38,610.0","38,710.0","30,720.0","18.40M","-18.45%"
"Jan 16","38,430.0","42,000.0","42,200.0","34,540.0","19.80M","-9.87%"
"Dec 15","42,640.0","49,880.0","50,080.0","41,860.0","13.16M","-14.34%"
"Nov 15","49,780.0","43,760.0","49,980.0","43,150.0","10.11M","12.17%"
"Oct 15","44,380.0","48,370.0","50,700.0","41,650.0","15.69M","-8.48%"
"Sep 15","48,490.0","48,990.0","49,725.0","44,660.0","15.85M","-1.57%"
"Aug 15","49,265.0","60,820.0","61,830.0","46,210.0","15.26M","-19.72%"
"Jul 15","61,370.0","55,850.0","61,970.0","53,650.0","14.81M","10.46%"
"Jun 15","55,560.0","51,120.0","57,000.0","50,520.0","11.48M","8.30%"
"May 15","51,300.0","47,205.0","51,640.0","47,015.0","9.39M","8.47%"
"Apr 15","47,295.0","47,180.0","50,650.0","46,410.0","12.60M","1.72%"
"Mar 15","46,495.0","46,525.0","47,880.0","44,105.0","13.23M","0.36%"
"Feb 15","46,330.0","43,400.0","46,665.0","42,055.0","9.76M","5.25%"
"Jan 15","44,020.0","43,580.0","46,325.0","40,610.0","13.48M","-0.05%"
"Dec 14","44,040.0","42,715.0","45,880.0","41,010.0","14.10M","1.93%"
"Nov 14","43,205.0","42,465.0","44,730.0","41,100.0","15.24M","7.04%"
"Oct 14","40,365.0","36,615.0","40,900.0","36,120.0","18.24M","9.97%"
"Sep 14","36,705.0","32,685.0","37,170.0","32,460.0","11.26M","12.76%"
"Aug 14","32,550.0","34,290.0","34,550.0","32,030.0","8.02M","-5.39%"
"Jul 14","34,405.0","33,150.0","34,740.0","32,180.0","11.08M","3.23%"
"Jun 14","33,330.0","33,960.0","35,170.0","32,900.0","12.05M","-0.77%"
"May 14","33,590.0","31,800.0","34,410.0","30,950.0","10.56M","5.73%"
"Apr 14","31,770.0","37,255.0","38,770.0","31,685.0","15.10M","-15.13%"
"Mar 14","37,435.0","34,550.0","38,645.0","34,550.0","13.69M","6.80%"
"Feb 14","35,050.0","37,410.0","37,795.0","34,425.0","13.46M","-8.03%"
"Jan 14","38,110.0","42,500.0","42,600.0","37,120.0","20.07M","-12.19%"
"Dec 13","43,400.0","38,600.0","45,350.0","36,500.0","21.04M","11.86%"
"Nov 13","38,800.0","33,050.0","39,600.0","30,350.0","16.99M","18.11%"
"Oct 13","32,850.0","37,200.0","37,650.0","32,150.0","15.28M","-10.85%"
"Sep 13","36,850.0","32,050.0","38,100.0","31,850.0","14.02M","15.52%"
"Aug 13","31,900.0","33,050.0","35,750.0","30,050.0","13.89M","-4.92%"
"Jul 13","33,550.0","33,500.0","38,750.0","32,700.0","18.01M","0.30%"
"Jun 13","33,450.0","34,600.0","34,600.0","27,900.0","23.50M","-4.15%"
"May 13","34,900.0","35,750.0","44,400.0","33,200.0","19.11M","-2.24%"
"Apr 13","35,700.0","30,850.0","38,350.0","30,300.0","21.05M","16.48%"
"Mar 13","30,650.0","25,170.0","31,600.0","25,080.0","20.57M","20.53%"
"Feb 13","25,430.0","24,360.0","26,000.0","24,010.0","13.76M","5.61%"
"Jan 13","24,080.0","22,500.0","24,090.0","22,030.0","14.67M","10.26%"
"Dec 12","21,840.0","18,800.0","21,970.0","18,680.0","15.67M","16.67%"
"Nov 12","18,720.0","17,700.0","18,800.0","16,620.0","9.65M","5.29%"
"Oct 12","17,780.0","18,120.0","18,640.0","15,810.0","14.66M","-2.04%"
"Sep 12","18,150.0","18,270.0","18,840.0","17,470.0","12.36M","-0.66%"
"Aug 12","18,270.0","16,050.0","18,580.0","15,720.0","11.96M","13.13%"
"Jul 12","16,150.0","16,000.0","16,340.0","15,210.0","11.99M","1.70%"
"Jun 12","15,880.0","17,490.0","17,830.0","15,140.0","18.90M","-9.21%"
"May 12","17,490.0","17,680.0","17,990.0","16,410.0","14.03M","-2.45%"
"Apr 12","17,930.0","18,890.0","19,150.0","17,170.0","19.14M","-4.93%"
"Mar 12","18,860.0","16,770.0","18,860.0","16,750.0","16.84M","12.06%"
"Feb 12","16,830.0","15,080.0","17,030.0","14,930.0","13.62M","11.09%"
"Jan 12","15,150.0","14,050.0","15,200.0","13,600.0","12.72M","8.21%"
"Dec 11","14,000.0","12,470.0","14,050.0","12,380.0","14.47M","13.64%"
"Nov 11","12,320.0","14,120.0","14,220.0","11,950.0","13.38M","-13.42%"
"Oct 11","14,230.0","13,990.0","14,280.0","13,000.0","13.08M","1.72%"
"Sep 11","13,990.0","14,510.0","14,710.0","13,330.0","16.44M","-3.38%"
"Aug 11","14,480.0","13,880.0","15,080.0","12,670.0","21.20M","5.85%"
"Jul 11","13,680.0","13,070.0","14,040.0","12,620.0","11.19M","5.47%"
"Jun 11","12,970.0","11,960.0","13,170.0","11,810.0","16.45M","9.54%"
"May 11","11,840.0","12,900.0","13,010.0","11,480.0","13.59M","-6.85%"
"Apr 11","12,710.0","10,470.0","12,800.0","10,450.0","19.60M","22.09%"
"Mar 11","10,410.0","12,710.0","12,910.0","8,800.0","29.96M","-18.42%"
"Feb 11","12,760.0","12,070.0","13,000.0","11,860.0","14.02M","6.78%"
"Jan 11","11,950.0","13,090.0","13,240.0","11,930.0","18.29M","-7.58%"
