"Date","Price","Open","High","Low","Change %"
"May 18","17.3945","17.2605","17.4305","17.0840","0.76%"
"Apr 18","17.2636","16.9255","17.3099","16.7918","1.94%"
"Mar 18","16.9354","16.8486","16.9921","16.5139","0.51%"
"Feb 18","16.8495","17.3554","17.5550","16.6197","-2.97%"
"Jan 18","17.3650","17.3275","17.4837","17.1015","0.27%"
"Dec 17","17.3184","17.0093","17.3413","16.8300","1.77%"
"Nov 17","17.0179","17.1311","17.3090","16.8066","-0.64%"
"Oct 17","17.1269","16.9220","17.2353","16.8875","1.30%"
"Sep 17","16.9072","16.6867","17.1224","16.5765","1.31%"
"Aug 17","16.6884","16.3892","16.7764","16.2848","1.81%"
"Jul 17","16.3910","16.5392","16.8353","16.3734","-1.10%"
"Jun 17","16.5730","16.2705","16.6597","16.0227","1.88%"
"May 17","16.2664","16.1388","16.5640","15.9917","0.53%"
"Apr 17","16.1812","16.1631","16.2242","15.7057","0.04%"
"Mar 17","16.1745","16.4158","16.7103","16.0017","-1.50%"
"Feb 17","16.4216","16.3770","16.7211","16.2318","0.18%"
"Jan 17","16.3922","16.8461","17.0433","16.2695","-2.61%"
"Dec 16","16.8316","16.6096","17.1089","16.3774","1.27%"
"Nov 16","16.6208","15.4630","16.6338","14.9615","7.44%"
"Oct 16","15.4697","15.1842","15.6105","15.1602","1.84%"
"Sep 16","15.1905","15.4782","15.6199","14.9924","-1.90%"
"Aug 16","15.4844","15.3745","15.5027","14.9903","0.69%"
"Jul 16","15.3788","15.5258","16.0924","14.9493","-1.02%"
"Jun 16","15.5369","16.8053","16.8311","14.9835","-7.62%"
"May 16","16.8178","16.4141","16.9405","16.3002","2.36%"
"Apr 16","16.4295","17.4512","17.4573","16.4141","-5.88%"
"Mar 16","17.4562","17.1871","17.5563","17.0666","1.52%"
"Feb 16","17.1941","18.4068","18.4777","16.8745","-6.60%"
"Jan 16","18.4085","18.5168","18.5506","17.6204","-0.65%"
"Dec 15","18.5289","19.2367","19.3330","18.4721","-3.70%"
"Nov 15","19.2400","19.0798","19.4310","18.9665","0.78%"
"Oct 15","19.0920","18.8485","19.1598","18.5992","1.26%"
"Sep 15","18.8553","19.0095","19.0318","18.6546","-0.82%"
"Aug 15","19.0115","19.9684","20.1397","18.1801","-4.75%"
"Jul 15","19.9590","19.7452","20.0656","19.3874","1.03%"
"Jun 15","19.7549","20.0206","20.2888","19.6582","-1.37%"
"May 15","20.0289","19.2414","20.0737","19.1648","4.08%"
"Apr 15","19.2437","19.3710","19.4626","19.0908","-0.69%"
"Mar 15","19.3782","19.0679","19.5360","19.0211","1.63%"
"Feb 15","19.0666","18.7905","19.3029","18.6625","1.46%"
"Jan 15","18.7928","19.2780","19.4543","18.6924","-2.56%"
"Dec 14","19.2867","19.3183","19.8162","18.6688","-0.13%"
"Nov 14","19.3126","18.3972","19.4265","18.3890","5.10%"
"Oct 14","18.3758","17.8580","18.4037","17.1669","2.87%"
"Sep 14","17.8635","16.9328","17.8961","16.9328","5.44%"
"Aug 14","16.9411","16.6464","16.9801","16.4827","1.75%"
"Jul 14","16.6497","16.3314","16.7037","16.2881","1.94%"
"Jun 14","16.3327","16.2930","16.4627","16.2778","0.26%"
"May 14","16.2911","16.3301","16.4608","16.1585","-0.28%"
"Apr 14","16.3372","16.5954","16.7706","16.2982","-1.59%"
"Mar 14","16.6016","16.5232","16.9413","16.3392","0.21%"
"Feb 14","16.5670","16.8297","16.9456","16.4691","-1.59%"
"Jan 14","16.8348","17.3896","17.4290","16.8153","-3.23%"
"Dec 13","17.3961","16.8061","17.4043","16.6784","3.47%"
"Nov 13","16.8130","16.1337","16.8478","16.0283","4.18%"
"Oct 13","16.1384","16.0363","16.2309","15.7684","0.57%"
"Sep 13","16.0467","16.0694","16.4456","15.9203","0.03%"
"Aug 13","16.0414","15.9657","16.3075","15.6466","0.45%"
"Jul 13","15.9695","16.1703","16.5589","15.9167","-1.13%"
"Jun 13","16.1521","16.3570","16.4331","15.2691","-1.39%"
"May 13","16.3796","15.8013","16.9228","15.7381","3.65%"
"Apr 13","15.8029","15.1779","16.1700","14.9222","4.17%"
"Mar 13","15.1703","14.8742","15.5579","14.8505","1.02%"
"Feb 13","15.0170","14.7945","15.1475","14.7365","0.90%"
"Feb 13","14.8833","14.7162","15.1784","14.5843","0.60%"
"Jan 13","14.7945","13.9000","14.8075","13.8860","0.50%"
"Jan 13","14.7215","13.9218","14.7247","13.8849","5.92%"
"Dec 12","13.8985","13.2195","13.9340","13.1290","-0.19%"
"Dec 12","13.9247","13.2313","13.9344","13.1212","5.10%"
"Nov 12","13.2495","12.8360","13.3400","12.6550","0.06%"
"Nov 12","13.2421","12.7908","13.2969","12.6589","3.16%"
"Oct 12","12.8365","12.3040","12.8830","12.2990","0.33%"
"Oct 12","12.7949","12.4043","12.8770","12.3739","3.99%"
"Sep 12","12.3040","12.3395","12.9485","12.2075","-0.76%"
"Sep 12","12.3987","12.3382","12.5547","12.1817","0.46%"
"Aug 12","12.3415","12.2495","12.5310","12.2410","-0.04%"
"Aug 12","12.3470","12.2741","12.5286","12.2344","0.79%"
"Jul 12","12.2505","12.6700","12.6810","12.1975","-0.23%"
"Jul 12","12.2785","12.5726","12.6158","12.2010","-2.27%"
"Jun 12","12.5640","12.3225","12.7215","12.1865","0.03%"
"Jun 12","12.5605","12.3012","12.6674","12.1900","1.93%"
"May 12","12.3225","12.6630","12.7815","12.2805","0.15%"
"May 12","12.3045","12.6426","12.7894","12.2778","-2.84%"
"Apr 12","12.6640","12.7125","12.7140","12.6380","0.14%"
"Apr 12","12.6460","13.1762","13.2259","12.6315","-3.83%"
"Mar 12","13.1494","12.8928","13.3039","12.7673","1.97%"
"Feb 12","12.8951","12.0808","12.9620","12.0465","6.70%"
"Jan 12","12.0859","12.2228","12.3634","12.0256","-1.15%"
"Dec 11","12.2268","12.1624","12.3513","12.1207","0.56%"
"Nov 11","12.1584","12.2976","12.3588","12.0415","-1.18%"
"Oct 11","12.3041","12.0786","12.5138","11.8757","1.90%"
"Sep 11","12.0749","12.0157","12.1976","11.9013","0.50%"
"Aug 11","12.0144","12.0208","12.4669","11.8570","0.76%"
"Jul 11","11.9241","12.4532","12.6090","11.9167","-4.28%"
"Jun 11","12.4578","12.5756","12.5832","12.3025","-1.01%"
"May 11","12.5850","12.4938","12.6580","12.2505","0.56%"
"Apr 11","12.5143","12.7044","13.0757","12.4435","-1.47%"
"Mar 11","12.7012","12.4469","12.7119","11.7411","2.06%"
"Feb 11","12.4444","12.4164","12.7449","12.3202","0.14%"
"Jan 11","12.4270","12.3164","12.6700","12.2800","0.84%"
"Dec 10","12.3229","12.5482","12.7012","12.2717","-1.83%"
"Nov 10","12.5528","12.0360","12.6739","11.9940","4.16%"
"Oct 10","12.0518","12.4727","12.5351","12.0480","-3.38%"
"Sep 10","12.4735","12.3616","12.7823","12.2564","0.89%"
"Aug 10","12.3635","12.7537","12.8276","12.2949","-3.15%"
"Jul 10","12.7650","13.0273","13.1678","12.6843","-2.08%"
"Jun 10","13.0366","13.3584","13.6060","12.9847","-2.44%"
"May 10","13.3629","13.7583","13.9189","12.8908","-2.80%"
"Apr 10","13.7483","13.6874","13.8875","13.4154","0.41%"
"Mar 10","13.6927","13.0129","13.7176","12.9050","5.18%"
"Feb 10","13.0185","13.1524","13.4964","12.9653","-1.55%"
"Jan 10","13.2228","13.6158","13.7331","13.0535","-2.89%"
"Dec 09","13.6166","12.6353","13.6444","12.6122","7.63%"
"Nov 09","12.6510","13.1330","13.3793","12.4200","-4.13%"
"Oct 09","13.1966","13.1375","13.5261","12.8871","0.34%"
"Sep 09","13.1517","13.6073","13.6820","12.9173","-3.52%"
"Aug 09","13.6310","13.8623","14.3167","13.5446","-1.64%"
"Jul 09","13.8582","14.1038","14.1986","13.4233","-1.71%"
"Jun 09","14.1000","13.9573","14.4726","13.8310","1.01%"
"May 09","13.9596","14.4523","14.6206","13.7506","-3.45%"
"Apr 09","14.4585","14.4588","14.8439","14.0010","-0.03%"
"Mar 09","14.4628","14.2857","14.5750","13.7026","1.41%"
"Feb 09","14.2618","13.1680","14.4383","12.9453","8.33%"
"Jan 09","13.1654","13.2923","13.8440","12.7350","-0.81%"
"Dec 08","13.2728","13.9839","14.0039","12.7438","-5.17%"
"Nov 08","13.9960","14.4196","14.7107","13.6854","-2.78%"
"Oct 08","14.3965","15.4810","15.5631","13.2798","-7.08%"
"Sep 08","15.4929","15.8164","15.9846","15.1125","-2.49%"
"Aug 08","15.8884","15.7860","16.1453","15.6740","0.64%"
"Jul 08","15.7878","15.4774","15.8690","15.2327","2.01%"
"Jun 08","15.4769","15.1605","15.7967","14.9955","1.83%"
