"Date","Price","Open","High","Low","Change %"
"May 18","110.95","109.32","111.07","108.65","1.48%"
"Apr 18","109.33","106.25","109.53","105.64","2.87%"
"Mar 18","106.28","106.67","107.31","104.56","-0.37%"
"Feb 18","106.67","109.19","110.47","105.53","-2.31%"
"Jan 18","109.19","112.67","113.39","108.28","-3.11%"
"Dec 17","112.69","112.53","113.75","111.42","0.14%"
"Nov 17","112.53","113.64","114.73","110.84","-0.98%"
"Oct 17","113.64","112.56","114.45","111.66","1.02%"
"Sep 17","112.49","109.98","113.27","107.33","2.29%"
"Aug 17","109.97","110.25","111.06","108.27","-0.25%"
"Jul 17","110.25","112.12","114.50","110.19","-1.90%"
"Jun 17","112.38","110.78","112.95","108.84","1.44%"
"May 17","110.78","111.31","114.39","110.23","-0.69%"
"Apr 17","111.55","111.38","111.78","108.11","0.14%"
"Mar 17","111.39","112.76","115.52","110.09","-1.23%"
"Feb 17","112.78","112.79","114.98","111.57","-0.02%"
"Jan 17","112.80","116.91","118.61","112.04","-3.50%"
"Dec 16","116.89","114.44","118.69","112.84","2.11%"
"Nov 16","114.47","104.81","114.56","101.15","9.21%"
"Oct 16","104.82","101.35","105.54","101.19","3.43%"
"Sep 16","101.34","103.41","104.33","100.07","-2.01%"
"Aug 16","103.42","102.05","103.53","99.53","1.33%"
"Jul 16","102.06","103.25","107.48","100.02","-1.19%"
"Jun 16","103.29","110.68","110.85","99.08","-6.70%"
"May 16","110.71","106.27","111.46","105.52","4.09%"
"Apr 16","106.36","112.56","112.59","106.27","-5.52%"
"Mar 16","112.58","112.67","114.56","110.65","-0.10%"
"Feb 16","112.69","121.10","121.50","110.98","-6.91%"
"Jan 16","121.06","120.27","121.70","115.96","0.62%"
"Dec 15","120.32","123.08","123.68","119.98","-2.26%"
"Nov 15","123.10","120.63","123.69","120.24","2.06%"
"Oct 15","120.62","119.85","121.53","118.04","0.63%"
"Sep 15","119.86","121.20","121.34","118.65","-1.12%"
"Aug 15","121.22","124.00","125.28","116.46","-2.19%"
"Jul 15","123.94","122.46","124.60","120.38","1.18%"
"Jun 15","122.50","124.10","125.86","121.92","-1.32%"
"May 15","124.14","119.37","124.50","118.86","4.00%"
"Apr 15","119.36","120.10","120.86","118.47","-0.65%"
"Mar 15","120.14","119.55","122.03","118.30","0.50%"
"Feb 15","119.54","117.45","120.51","116.65","1.78%"
"Jan 15","117.45","119.67","120.75","115.82","-1.87%"
"Dec 14","119.69","118.68","121.86","115.56","0.89%"
"Nov 14","118.64","112.46","118.99","112.41","5.62%"
"Oct 14","112.33","109.63","112.50","105.18","2.43%"
"Sep 14","109.66","104.03","109.86","104.03","5.36%"
"Aug 14","104.08","102.78","104.45","101.49","1.25%"
"Jul 14","102.80","101.32","103.08","101.04","1.45%"
"Jun 14","101.33","101.81","102.81","101.21","-0.44%"
"May 14","101.78","102.22","103.03","100.80","-0.47%"
"Apr 14","102.26","103.19","104.14","101.31","-0.93%"
"Mar 14","103.22","101.54","103.78","101.17","1.38%"
"Feb 14","101.81","102.02","102.83","100.74","-0.22%"
"Jan 14","102.03","105.28","105.44","101.77","-3.11%"
"Dec 13","105.31","102.42","105.42","101.61","2.80%"
"Nov 13","102.44","98.33","102.64","97.63","4.15%"
"Oct 13","98.36","98.19","99.00","96.55","0.13%"
"Sep 13","98.23","98.34","100.62","97.48","0.06%"
"Aug 13","98.17","97.86","99.95","95.79","0.30%"
"Jul 13","97.88","99.25","101.55","97.56","-1.27%"
"Jun 13","99.14","100.35","100.73","93.78","-1.33%"
"May 13","100.48","97.42","103.75","97.03","3.14%"
"Apr 13","97.42","94.18","99.95","92.54","3.40%"
"Mar 13","94.22","92.54","96.74","92.41","1.79%"
"Feb 13","92.56","91.69","94.79","90.92","0.92%"
"Jan 13","91.72","86.72","91.78","86.51","5.73%"
"Dec 12","86.75","82.35","86.80","81.69","5.18%"
"Nov 12","82.48","79.76","82.85","79.06","3.40%"
"Oct 12","79.77","77.89","80.37","77.77","2.37%"
"Sep 12","77.92","78.37","79.23","77.11","-0.60%"
"Aug 12","78.39","78.10","79.67","77.91","0.33%"
"Jul 12","78.13","79.89","80.11","77.95","-2.10%"
"Jun 12","79.81","78.35","80.62","77.65","1.85%"
"May 12","78.36","79.78","80.61","78.20","-1.80%"
"Apr 12","79.80","82.99","83.30","79.71","-3.63%"
"Mar 12","82.81","81.14","84.19","80.56","1.96%"
"Feb 12","81.22","76.23","81.61","76.00","6.55%"
"Jan 12","76.23","76.93","78.32","76.13","-0.95%"
"Dec 11","76.96","77.57","78.24","76.88","-0.70%"
"Nov 11","77.50","78.14","78.61","76.55","-0.90%"
"Oct 11","78.20","77.14","79.52","75.55","1.48%"
"Sep 11","77.06","76.66","77.88","76.09","0.59%"
"Aug 11","76.61","77.41","80.26","75.93","-0.18%"
"Jul 11","76.75","80.51","81.50","76.72","-4.69%"
"Jun 11","80.53","81.49","81.53","79.67","-1.24%"
"May 11","81.54","81.11","82.25","79.55","0.38%"
"Apr 11","81.23","83.20","85.56","81.02","-2.32%"
"Mar 11","83.16","81.80","83.30","76.25","1.69%"
"Feb 11","81.78","82.05","84.00","81.09","-0.37%"
"Jan 11","82.08","81.18","83.68","80.94","1.12%"
"Dec 10","81.17","83.66","84.53","80.92","-3.01%"
"Nov 10","83.69","80.29","84.42","80.22","4.10%"
"Oct 10","80.39","83.49","83.98","80.37","-3.69%"
"Sep 10","83.47","84.15","85.94","82.85","-0.83%"
"Aug 10","84.17","86.38","86.89","83.57","-2.66%"
"Jul 10","86.47","88.35","89.17","85.93","-2.19%"
"Jun 10","88.41","91.19","92.91","88.26","-3.11%"
"May 10","91.25","93.91","94.98","88.00","-2.75%"
"Apr 10","93.83","93.43","94.78","91.58","0.39%"
"Mar 10","93.47","88.83","93.64","88.10","5.18%"
"Feb 10","88.87","89.79","92.16","88.54","-1.59%"
"Jan 10","90.31","92.97","93.78","89.11","-2.81%"
"Dec 09","92.92","86.28","93.16","86.11","7.60%"
"Nov 09","86.36","89.66","91.34","84.81","-4.15%"
"Oct 09","90.10","89.69","92.34","87.98","0.37%"
"Sep 09","89.77","92.95","93.46","88.22","-3.50%"
"Aug 09","93.03","94.71","97.80","92.53","-1.74%"
"Jul 09","94.68","96.34","97.01","91.72","-1.71%"
"Jun 09","96.33","95.31","98.90","94.43","1.06%"
"May 09","95.32","98.58","99.75","93.82","-3.29%"
"Apr 09","98.56","98.81","101.45","95.59","-0.30%"
"Mar 09","98.86","97.71","99.69","93.52","1.34%"
"Feb 09","97.55","90.01","98.73","88.56","8.40%"
"Jan 09","89.99","90.70","94.65","87.11","-0.68%"
"Dec 08","90.61","95.49","95.57","87.11","-5.12%"
"Nov 08","95.50","98.63","100.58","93.54","-3.02%"
"Oct 08","98.47","106.00","106.56","90.90","-7.13%"
"Sep 08","106.03","108.32","109.19","103.49","-2.55%"
"Aug 08","108.81","107.85","110.69","107.27","0.91%"
"Jul 08","107.83","106.09","108.39","103.75","1.62%"
"Jun 08","106.11","105.28","108.59","103.85","0.56%"
